declaredId	lookup	documentOk	declaredFound	runtimeFound	frameId	wait	next	state	pic	chp	cmp	subblocks	hpOut	boundOut	mpOut
7	857	1	0	1	857	0	0	0	0	0	0	0	101	200	104
7	998	1	0	1	998	0	0	0	0	0	0	0	101	200	104
7	999	1	0	0	-999	-999	-999	-999	-999	-999	-999	-999	100	200	100
7	1000	1	0	0	-999	-999	-999	-999	-999	-999	-999	-999	100	200	100
7	9999	1	0	0	-999	-999	-999	-999	-999	-999	-999	-999	100	200	100
856	-1	1	0	0	-999	-999	-999	-999	-999	-999	-999	-999	100	200	100
856	0	1	0	1	0	0	0	0	0	0	0	0	101	200	104
856	7	1	0	1	7	0	0	0	0	0	0	0	101	200	104
856	856	1	1	1	856	2	0	14	29	7	5	0	107	202	109
856	857	1	0	1	857	0	0	0	0	0	0	0	101	200	104
856	998	1	0	1	998	0	0	0	0	0	0	0	101	200	104
856	999	1	0	0	-999	-999	-999	-999	-999	-999	-999	-999	100	200	100
856	1000	1	0	0	-999	-999	-999	-999	-999	-999	-999	-999	100	200	100
856	9999	1	0	0	-999	-999	-999	-999	-999	-999	-999	-999	100	200	100
857	-1	1	0	0	-999	-999	-999	-999	-999	-999	-999	-999	100	200	100
857	0	1	0	1	0	0	0	0	0	0	0	0	101	200	104
857	7	1	0	1	7	0	0	0	0	0	0	0	101	200	104
857	856	1	0	1	856	0	0	0	0	0	0	0	101	200	104
857	857	1	1	1	857	2	0	14	29	7	5	0	107	202	109
857	998	1	0	1	998	0	0	0	0	0	0	0	101	200	104
857	999	1	0	0	-999	-999	-999	-999	-999	-999	-999	-999	100	200	100
857	1000	1	0	0	-999	-999	-999	-999	-999	-999	-999	-999	100	200	100
857	9999	1	0	0	-999	-999	-999	-999	-999	-999	-999	-999	100	200	100
998	-1	1	0	0	-999	-999	-999	-999	-999	-999	-999	-999	100	200	100
998	0	1	0	1	0	0	0	0	0	0	0	0	101	200	104
998	7	1	0	1	7	0	0	0	0	0	0	0	101	200	104
998	856	1	0	1	856	0	0	0	0	0	0	0	101	200	104
998	857	1	0	1	857	0	0	0	0	0	0	0	101	200	104
998	998	1	1	1	998	2	0	14	29	7	5	0	107	202	109
998	999	1	0	0	-999	-999	-999	-999	-999	-999	-999	-999	100	200	100
998	1000	1	0	0	-999	-999	-999	-999	-999	-999	-999	-999	100	200	100
998	9999	1	0	0	-999	-999	-999	-999	-999	-999	-999	-999	100	200	100
999	-1	1	0	0	-999	-999	-999	-999	-999	-999	-999	-999	100	200	100
999	0	1	0	1	0	0	0	0	0	0	0	0	101	200	104
999	7	1	0	1	7	0	0	0	0	0	0	0	101	200	104
999	856	1	0	1	856	0	0	0	0	0	0	0	101	200	104
999	857	1	0	1	857	0	0	0	0	0	0	0	101	200	104
999	998	1	0	1	998	0	0	0	0	0	0	0	101	200	104
999	999	1	1	1	999	2	0	14	29	7	5	0	107	202	109
999	1000	1	0	0	-999	-999	-999	-999	-999	-999	-999	-999	100	200	100
999	9999	1	0	0	-999	-999	-999	-999	-999	-999	-999	-999	100	200	100
1000	-1	0	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
1000	0	0	0	1	0	0	0	0	0	0	0	0	-999	-999	-999
1000	7	0	0	1	7	0	0	0	0	0	0	0	-999	-999	-999
1000	856	0	0	1	856	0	0	0	0	0	0	0	-999	-999	-999
1000	857	0	0	1	857	0	0	0	0	0	0	0	-999	-999	-999
1000	998	0	0	1	998	0	0	0	0	0	0	0	-999	-999	-999
1000	999	0	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
1000	1000	0	1	1	1000	2	0	14	29	7	5	0	-999	-999	-999
1000	9999	0	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
