id	throwvx_bits	throwvy_bits	throwvz_bits	injury	wpoint_x	caughtact	catchingact	pickedact	pickingact
n00059	3DEED05B	3DEED05B	3DEED05B	0	0	0	0	0	0
n00060	6D0C0E9A	6D0C0E9A	6D0C0E9A	0	0	2	2	2	2
n00061	E44187E6	E44187E6	E44187E6	0	0	-1	-1	-1	-1
n00062	A4847495	A4847495	A4847495	0	0	-5	-5	-5	-5
n00063	F7BB0DDF	F7BB0DDF	F7BB0DDF	0	0	-7	-7	-7	-7
n00064	465BC374	465BC374	465BC374	0	0	14064	14064	14064	14064
n00065	8127C6E4	8127C6E4	8127C6E4	0	0	-3	-3	-3	-3
n00066	7971E520	7971E520	7971E520	0	0	7	7	7	7
n00067	7EF2BA6C	7EF2BA6C	7EF2BA6C	0	0	1	1	1	1
n00068	EB0ED3EC	EB0ED3EC	EB0ED3EC	0	0	-1	-1	-1	-1
n00069	6D99A263	6D99A263	6D99A263	0	0	5	5	5	5
n00070	7BDFCAFA	7BDFCAFA	7BDFCAFA	0	0	2	2	2	2
n00071	3A5AAA02	3A5AAA02	3A5AAA02	0	0	0	0	0	0
n00072	F23BC819	F23BC819	F23BC819	0	0	-3	-3	-3	-3
n00073	F6C01AC0	F6C01AC0	F6C01AC0	0	0	-1	-1	-1	-1
n00074	FC79C0A5	FC79C0A5	FC79C0A5	0	0	-5	-5	-5	-5
n00075	C6BFCF9E	C6BFCF9E	C6BFCF9E	0	0	-24551	-24551	-24551	-24551
n00076	CA07B563	CA07B563	CA07B563	0	0	-2223448	-2223448	-2223448	-2223448
n00077	D72ADA24	D72ADA24	D72ADA24	0	0	-1	-1	-1	-1
n00078	AAAFA061	AAAFA061	AAAFA061	0	0	-3	-3	-3	-3
n00079	BB5D32E3	BB5D32E3	BB5D32E3	0	0	0	0	0	0
n00080	195A5C93	195A5C93	195A5C93	0	0	1	1	1	1
n00081	B3EC050F	B3EC050F	B3EC050F	0	0	-1	-1	-1	-1
n00082	2880B95C	2880B95C	2880B95C	0	0	1	1	1	1
n00083	7279F535	7279F535	7279F535	0	0	4	4	4	4
n00084	7ECD1C14	7ECD1C14	7ECD1C14	0	0	1	1	1	1
n00085	391288E5	391288E5	391288E5	0	0	0	0	0	0
n00086	05625796	05625796	05625796	0	0	1	1	1	1
n00087	17E27B9C	17E27B9C	17E27B9C	0	0	1	1	1	1
n00088	8353F8D1	8353F8D1	8353F8D1	0	0	-6	-6	-6	-6
n00089	8BC874D6	8BC874D6	8BC874D6	0	0	-7	-7	-7	-7
n00090	CC8A5F04	CC8A5F04	CC8A5F04	-72546336	-72546336	-72546336	-72546336	-72546336	-72546336
n00091	D92CA08C	D92CA08C	D92CA08C	0	0	-3	-3	-3	-3
n00092	A717F71B	A717F71B	A717F71B	0	0	-2	-2	-2	-2
n00093	8661781D	8661781D	8661781D	0	0	-4	-4	-4	-4
n00094	AC837B8D	AC837B8D	AC837B8D	0	0	-3	-3	-3	-3
n00095	C9F2B3DF	C9F2B3DF	C9F2B3DF	0	0	-1988219	-1988219	-1988219	-1988219
n00096	7F6ACFE3	7F6ACFE3	7F6ACFE3	0	0	3	3	3	3
n00097	C1FBC540	C1FBC540	C1FBC540	0	0	-31	-31	-31	-31
n00098	FE004E93	FE004E93	FE004E93	0	0	-4	-4	-4	-4
n00099	66C5595C	66C5595C	66C5595C	0	0	4	4	4	4
n00100	75D96542	75D96542	75D96542	0	0	5	5	5	5
n00101	BEAF5BA2	BEAF5BA2	BEAF5BA2	0	0	0	0	0	0
n00102	7CCDE260	7CCDE260	7CCDE260	0	0	8	8	8	8
n00103	BABBFE90	BABBFE90	BABBFE90	0	0	0	0	0	0
n00104	B5AD6EBE	B5AD6EBE	B5AD6EBE	0	0	-1	-1	-1	-1
n00105	18213019	18213019	18213019	0	0	2	2	2	2
n00106	BA3C011E	BA3C011E	BA3C011E	0	0	0	0	0	0
n00107	5668FBF8	5668FBF8	5668FBF8	0	0	6	6	6	6
n00108	637E84AA	637E84AA	637E84AA	0	0	4	4	4	4
n00109	4471D073	4471D073	4471D073	0	0	967	967	967	967
n00110	F3542F4B	F3542F4B	F3542F4B	0	0	-1	-1	-1	-1
n00111	49FD313A	49FD313A	49FD313A	0	0	2074151	2074151	2074151	2074151
n00112	050F87CD	050F87CD	050F87CD	0	0	6	6	6	6
n00113	4511E8B4	4511E8B4	4511E8B4	0	0	2334	2334	2334	2334
n00114	6AA9AD13	6AA9AD13	6AA9AD13	0	0	1	1	1	1
n00115	99A8FDB7	99A8FDB7	99A8FDB7	0	0	-1	-1	-1	-1
n00116	0F9AD0CE	0F9AD0CE	0F9AD0CE	0	0	1	1	1	1
n00117	C5F275A3	C5F275A3	C5F275A3	0	0	-7758	-7758	-7758	-7758
n00118	5B8B3C6C	5B8B3C6C	5B8B3C6C	0	0	7	7	7	7
n00119	58CF4DFA	58CF4DFA	58CF4DFA	0	0	1	1	1	1
n00120	01A5EA9C	01A5EA9C	01A5EA9C	0	0	6	6	6	6
n00121	0738F16E	0738F16E	0738F16E	0	0	1	1	1	1
n00122	FA80C30A	FA80C30A	FA80C30A	0	0	-3	-3	-3	-3
n00123	99914848	99914848	99914848	0	0	-1	-1	-1	-1
n00124	87711129	87711129	87711129	0	0	-1	-1	-1	-1
n00125	E09B082C	E09B082C	E09B082C	0	0	-8	-8	-8	-8
n00126	250D537F	250D537F	250D537F	0	0	1	1	1	1
n00127	BEFBBDBE	BEFBBDBE	BEFBBDBE	0	0	0	0	0	0
n00128	AE1F16DD	AE1F16DD	AE1F16DD	0	0	-3	-3	-3	-3
n00129	1F255CB1	1F255CB1	1F255CB1	0	0	3	3	3	3
n00130	9E145C0A	9E145C0A	9E145C0A	0	0	-7	-7	-7	-7
n00131	7985AFDF	7985AFDF	7985AFDF	0	0	8	8	8	8
n00132	1C3831C7	1C3831C7	1C3831C7	0	0	6	6	6	6
n00133	4942564E	4942564E	4942564E	0	0	796004	796004	796004	796004
n00134	BAD211FF	BAD211FF	BAD211FF	0	0	0	0	0	0
n00135	A9FFA657	A9FFA657	A9FFA657	0	0	-1	-1	-1	-1
n00136	C343F38F	C343F38F	C343F38F	0	0	-195	-195	-195	-195
n00137	63661BB9	63661BB9	63661BB9	0	0	4	4	4	4
n00138	C68E886F	C68E886F	C68E886F	0	0	-18244	-18244	-18244	-18244
n00139	F91E3FB9	F91E3FB9	F91E3FB9	0	0	-5	-5	-5	-5
n00140	E82C5951	E82C5951	E82C5951	0	0	-3	-3	-3	-3
n00141	5FE1EA56	5FE1EA56	5FE1EA56	0	0	3	3	3	3
n00142	DBCDE0FE	DBCDE0FE	DBCDE0FE	0	0	-1	-1	-1	-1
n00143	142CACF5	142CACF5	142CACF5	0	0	8	8	8	8
n00144	684E43FE	684E43FE	684E43FE	0	0	3	3	3	3
n00145	897BC790	897BC790	897BC790	0	0	-3	-3	-3	-3
n00146	65DB6183	65DB6183	65DB6183	0	0	1	1	1	1
n00147	60104914	60104914	60104914	0	0	4	4	4	4
n00148	AFEAA9B6	AFEAA9B6	AFEAA9B6	0	0	-4	-4	-4	-4
n00149	2EAD28B9	2EAD28B9	2EAD28B9	0	0	7	7	7	7
n00150	8A335EBD	8A335EBD	8A335EBD	0	0	-8	-8	-8	-8
n00151	26422004	26422004	26422004	0	0	6	6	6	6
n00152	AE72532B	AE72532B	AE72532B	0	0	-5	-5	-5	-5
n00153	000E319F	000E319F	000E319F	0	0	1	1	1	1
n00154	702F2C76	702F2C76	702F2C76	0	0	2	2	2	2
n00155	E431954A	E431954A	E431954A	0	0	-1	-1	-1	-1
n00156	F2F3B7D4	F2F3B7D4	F2F3B7D4	0	0	-9	-9	-9	-9
n00157	E3864EFE	E3864EFE	E3864EFE	0	0	-4	-4	-4	-4
n00158	E51F5B30	E51F5B30	E51F5B30	0	0	-4	-4	-4	-4
n00159	FA4B01AD	FA4B01AD	FA4B01AD	0	0	-2	-2	-2	-2
n00160	35271F6C	35271F6C	35271F6C	0	0	6	6	6	6
n00161	E0BD26BE	E0BD26BE	E0BD26BE	0	0	-1	-1	-1	-1
n00162	8076CAAE	8076CAAE	8076CAAE	0	0	-1	-1	-1	-1
n00163	AAC7C880	AAC7C880	AAC7C880	0	0	-3	-3	-3	-3
n00164	D41AEB6C	D41AEB6C	D41AEB6C	0	0	-2	-2	-2	-2
n00165	599E73BB	599E73BB	599E73BB	0	0	5	5	5	5
n00166	D5258C06	D5258C06	D5258C06	0	0	-1	-1	-1	-1
n00167	2E062F40	2E062F40	2E062F40	0	0	3	3	3	3
n00168	B1A15109	B1A15109	B1A15109	0	0	-4	-4	-4	-4
n00169	EA9913D3	EA9913D3	EA9913D3	0	0	-9	-9	-9	-9
n00170	C3158871	C3158871	C3158871	0	0	-149	-149	-149	-149
n00171	7DE40977	7DE40977	7DE40977	0	0	3	3	3	3
n00172	304B5752	304B5752	304B5752	0	0	7	7	7	7
n00173	5C5B4129	5C5B4129	5C5B4129	0	0	2	2	2	2
n00174	94F95BD1	94F95BD1	94F95BD1	0	0	-2	-2	-2	-2
n00175	EA9B8231	EA9B8231	EA9B8231	0	0	-9	-9	-9	-9
n00176	8DA873B5	8DA873B5	8DA873B5	0	0	-1	-1	-1	-1
n00177	754F2921	754F2921	754F2921	0	0	2	2	2	2
n00178	D6B23E79	D6B23E79	D6B23E79	0	0	-9	-9	-9	-9
n00179	C8645956	C8645956	C8645956	0	0	-233829	-233829	-233829	-233829
n00180	A3372514	A3372514	A3372514	0	0	-9	-9	-9	-9
n00181	E0A2F30E	E0A2F30E	E0A2F30E	0	0	-9	-9	-9	-9
n00182	EC4383DA	EC4383DA	EC4383DA	0	0	-9	-9	-9	-9
n00183	571BBC3F	571BBC3F	571BBC3F	0	0	1	1	1	1
n00184	98F0DBD7	98F0DBD7	98F0DBD7	0	0	-6	-6	-6	-6
n00185	1C586E0C	1C586E0C	1C586E0C	0	0	7	7	7	7
n00186	804EFD9F	804EFD9F	804EFD9F	0	0	-7	-7	-7	-7
n00187	4F13EAA7	4F13EAA7	4F13EAA7	0	0	2	2	2	2
n00188	0212B394	0212B394	0212B394	0	0	1	1	1	1
n00189	3FF964F9	3FF964F9	3FF964F9	0	0	1	1	1	1
n00190	9748AC3E	9748AC3E	9748AC3E	0	0	-6	-6	-6	-6
n00191	C6E2BD10	C6E2BD10	C6E2BD10	0	0	-29022	-29022	-29022	-29022
n00192	AA5BA2A6	AA5BA2A6	AA5BA2A6	0	0	-1	-1	-1	-1
n00193	15367033	15367033	15367033	0	0	3	3	3	3
n00194	978748EA	978748EA	978748EA	0	0	-8	-8	-8	-8
n00195	397F3C24	397F3C24	397F3C24	0	0	0	0	0	0
n00196	90B067CD	90B067CD	90B067CD	0	0	-6	-6	-6	-6
n00197	04117062	04117062	04117062	0	0	1	1	1	1
n00198	61C4ADEE	61C4ADEE	61C4ADEE	0	0	4	4	4	4
n00199	14B1DCB6	14B1DCB6	14B1DCB6	0	0	1	1	1	1
n00200	31429C77	31429C77	31429C77	0	0	2	2	2	2
n00201	A6576EE1	A6576EE1	A6576EE1	0	0	-7	-7	-7	-7
n00202	D023B5A2	D023B5A2	D023B5A2	0	0	-1	-1	-1	-1
n00203	86FD138B	86FD138B	86FD138B	0	0	-9	-9	-9	-9
n00204	5AAB0CD1	5AAB0CD1	5AAB0CD1	0	0	2	2	2	2
n00205	AA021212	AA021212	AA021212	0	0	-1	-1	-1	-1
n00206	C0B10346	C0B10346	C0B10346	0	0	-5	-5	-5	-5
n00207	B5649094	B5649094	B5649094	0	0	-8	-8	-8	-8
n00208	A8F92675	A8F92675	A8F92675	0	0	-2	-2	-2	-2
n00209	C9577366	C9577366	C9577366	0	0	-882486	-882486	-882486	-882486
n00210	D4954DDA	D4954DDA	D4954DDA	0	0	-5	-5	-5	-5
n00211	FDCD616B	FDCD616B	FDCD616B	0	0	-3	-3	-3	-3
n00212	59419CAE	59419CAE	59419CAE	0	0	3	3	3	3
n00213	BED18369	BED18369	BED18369	0	0	0	0	0	0
n00214	23690462	23690462	23690462	0	0	1	1	1	1
n00215	80AEDFBA	80AEDFBA	80AEDFBA	0	0	-1	-1	-1	-1
n00216	51DBCE0F	51DBCE0F	51DBCE0F	0	0	1	1	1	1
n00217	70B32016	70B32016	70B32016	0	0	4	4	4	4
n00218	B7B7BCA7	B7B7BCA7	B7B7BCA7	0	0	-2	-2	-2	-2
n00219	FF4C1CD1	FF4C1CD1	FF4C1CD1	0	0	-2	-2	-2	-2
n00220	A8003B2A	A8003B2A	A8003B2A	0	0	-7	-7	-7	-7
n00221	88550791	88550791	88550791	0	0	-6	-6	-6	-6
n00222	5A1251E5	5A1251E5	5A1251E5	0	0	1	1	1	1
n00223	9395648D	9395648D	9395648D	0	0	-3	-3	-3	-3
n00224	FC8EAF1B	FC8EAF1B	FC8EAF1B	0	0	-5	-5	-5	-5
n00225	10BFF67C	10BFF67C	10BFF67C	0	0	7	7	7	7
n00226	D24EF0FC	D24EF0FC	D24EF0FC	0	0	-2	-2	-2	-2
n00227	F8FDB213	F8FDB213	F8FDB213	0	0	-4	-4	-4	-4
n00228	62F2CAF2	62F2CAF2	62F2CAF2	0	0	2	2	2	2
n00229	4A09FA48	4A09FA48	4A09FA48	2260626	2260626	2260626	2260626	2260626	2260626
n00230	6A8AE194	6A8AE194	6A8AE194	0	0	8	8	8	8
n00231	3867A93E	3867A93E	3867A93E	0	0	5	5	5	5
n00232	DCBD02B3	DCBD02B3	DCBD02B3	0	0	-4	-4	-4	-4
n00233	EDA24277	EDA24277	EDA24277	0	0	-6	-6	-6	-6
n00234	37ADDDDD	37ADDDDD	37ADDDDD	0	0	2	2	2	2
n00235	BFE01F76	BFE01F76	BFE01F76	0	0	-1	-1	-1	-1
n00236	314F994E	314F994E	314F994E	0	0	3	3	3	3
n00237	9A85D889	9A85D889	9A85D889	0	0	-5	-5	-5	-5
n00238	7C7A58BB	7C7A58BB	7C7A58BB	0	0	5	5	5	5
n00239	DD4D3FDE	DD4D3FDE	DD4D3FDE	0	0	-9	-9	-9	-9
n00240	7C6DCAB3	7C6DCAB3	7C6DCAB3	0	0	4	4	4	4
n00241	2F272F36	2F272F36	2F272F36	0	0	1	1	1	1
n00242	02E155C7	02E155C7	02E155C7	0	0	3	3	3	3
n00243	E09CA3EF	E09CA3EF	E09CA3EF	0	0	-9	-9	-9	-9
n00244	81D6CAE6	81D6CAE6	81D6CAE6	0	0	-7	-7	-7	-7
n00245	2DFE044B	2DFE044B	2DFE044B	0	0	2	2	2	2
n00246	E82E639D	E82E639D	E82E639D	0	0	-3	-3	-3	-3
n00247	64B4FDB8	64B4FDB8	64B4FDB8	0	0	2	2	2	2
n00248	74E5BDA9	74E5BDA9	74E5BDA9	0	0	1	1	1	1
n00249	C29DD038	C29DD038	C29DD038	0	0	-78	-78	-78	-78
n00250	4DDB63B1	4DDB63B1	4DDB63B1	460092960	460092960	460092960	460092960	460092960	460092960
n00251	0DF44C6A	0DF44C6A	0DF44C6A	0	0	1	1	1	1
n00252	FDC7892E	FDC7892E	FDC7892E	0	0	-3	-3	-3	-3
n00253	606E7B38	606E7B38	606E7B38	0	0	6	6	6	6
n00254	C5F30055	C5F30055	C5F30055	0	0	-7776	-7776	-7776	-7776
n00255	A8E98AF2	A8E98AF2	A8E98AF2	0	0	-2	-2	-2	-2
n00256	968732DE	968732DE	968732DE	0	0	-2	-2	-2	-2
n00257	4E8BD8F3	4E8BD8F3	4E8BD8F3	0	0	1	1	1	1
n00258	703C9173	703C9173	703C9173	0	0	2	2	2	2
n00259	3CCAEB8D	3CCAEB8D	3CCAEB8D	0	0	0	0	0	0
n00260	F351A4EE	F351A4EE	F351A4EE	0	0	-1	-1	-1	-1
n00261	EFF6C66F	EFF6C66F	EFF6C66F	0	0	-1	-1	-1	-1
n00262	D78AC7B6	D78AC7B6	D78AC7B6	0	0	-3	-3	-3	-3
n00263	B7139E4B	B7139E4B	B7139E4B	0	0	-8	-8	-8	-8
n00264	EC3ECCC7	EC3ECCC7	EC3ECCC7	0	0	-9	-9	-9	-9
n00265	D8A5DC94	D8A5DC94	D8A5DC94	0	0	-1	-1	-1	-1
n00266	078EEB7D	078EEB7D	078EEB7D	0	0	2	2	2	2
n00267	50019D18	50019D18	50019D18	0	0	8	8	8	8
n00268	AD35A4E5	AD35A4E5	AD35A4E5	0	0	-1	-1	-1	-1
n00269	6849017D	6849017D	6849017D	0	0	3	3	3	3
n00270	F0FB2D63	F0FB2D63	F0FB2D63	0	0	-6	-6	-6	-6
n00271	BD247C84	BD247C84	BD247C84	0	0	0	0	0	0
n00272	2A1FF278	2A1FF278	2A1FF278	0	0	1	1	1	1
n00273	E1B1CA1F	E1B1CA1F	E1B1CA1F	0	0	-4	-4	-4	-4
n00274	AE24AA3D	AE24AA3D	AE24AA3D	0	0	-3	-3	-3	-3
n00275	9D6559D6	9D6559D6	9D6559D6	0	0	-3	-3	-3	-3
n00276	ADA5CCC7	ADA5CCC7	ADA5CCC7	0	0	-1	-1	-1	-1
n00277	4B0BE494	4B0BE494	4B0BE494	9168020	9168020	9168020	9168020	9168020	9168020
n00278	2211DBEF	2211DBEF	2211DBEF	0	0	1	1	1	1
n00279	22F3DD98	22F3DD98	22F3DD98	0	0	6	6	6	6
n00280	6D729803	6D729803	6D729803	0	0	4	4	4	4
n00281	2349E564	2349E564	2349E564	0	0	1	1	1	1
n00282	B3829BC7	B3829BC7	B3829BC7	0	0	-6	-6	-6	-6
n00283	9BD7E29D	9BD7E29D	9BD7E29D	0	0	-3	-3	-3	-3
n00284	3FE5E39C	3FE5E39C	3FE5E39C	0	0	1	1	1	1
n00285	1723D745	1723D745	1723D745	0	0	5	5	5	5
n00286	6A0DBC93	6A0DBC93	6A0DBC93	0	0	4	4	4	4
n00287	6C40C453	6C40C453	6C40C453	0	0	9	9	9	9
n00288	C2DD47A0	C2DD47A0	C2DD47A0	0	0	-110	-110	-110	-110
n00289	1ADA138A	1ADA138A	1ADA138A	0	0	9	9	9	9
n00290	E287734E	E287734E	E287734E	0	0	-1	-1	-1	-1
n00291	48E16A7F	48E16A7F	48E16A7F	0	0	461651	461651	461651	461651
n00292	EF05E28C	EF05E28C	EF05E28C	0	0	-4	-4	-4	-4
n00293	C68D12F5	C68D12F5	C68D12F5	0	0	-18057	-18057	-18057	-18057
n00294	3A70F965	3A70F965	3A70F965	0	0	0	0	0	0
n00295	E87DC559	E87DC559	E87DC559	0	0	-4	-4	-4	-4
n00296	11E789AC	11E789AC	11E789AC	0	0	3	3	3	3
n00297	27BED6BC	27BED6BC	27BED6BC	0	0	5	5	5	5
n00298	EF5B309B	EF5B309B	EF5B309B	0	0	-6	-6	-6	-6
n00299	B344A5DA	B344A5DA	B344A5DA	0	0	-4	-4	-4	-4
n00300	C079C56F	C079C56F	C079C56F	0	0	-3	-3	-3	-3
n00301	B35A4943	B35A4943	B35A4943	0	0	-5	-5	-5	-5
n00302	F3954ABE	F3954ABE	F3954ABE	0	0	-2	-2	-2	-2
n00303	B9E5F2DC	B9E5F2DC	B9E5F2DC	0	0	0	0	0	0
n00304	C4CA085D	C4CA085D	C4CA085D	0	0	-1616	-1616	-1616	-1616
n00305	5D24BCDF	5D24BCDF	5D24BCDF	0	0	7	7	7	7
n00306	93984695	93984695	93984695	0	0	-3	-3	-3	-3
n00307	D0C37F01	D0C37F01	D0C37F01	0	0	-2	-2	-2	-2
n00308	CD3BB556	CD3BB556	CD3BB556	-196826464	-196826464	-196826464	-196826464	-196826464	-196826464
n00309	D6DD9DD0	D6DD9DD0	D6DD9DD0	0	0	-1	-1	-1	-1
n00310	E4E92659	E4E92659	E4E92659	0	0	-3	-3	-3	-3
n00311	DEDBC903	DEDBC903	DEDBC903	0	0	-7	-7	-7	-7
n00312	0ABC35E8	0ABC35E8	0ABC35E8	0	0	1	1	1	1
n00313	12493454	12493454	12493454	0	0	6	6	6	6
n00314	44615D95	44615D95	44615D95	0	0	901	901	901	901
n00315	C3F9AA5E	C3F9AA5E	C3F9AA5E	0	0	-499	-499	-499	-499
n00316	B84FA8E3	B84FA8E3	B84FA8E3	0	0	-4	-4	-4	-4
n00317	2A890C37	2A890C37	2A890C37	0	0	2	2	2	2
n00318	C018D51B	C018D51B	C018D51B	0	0	-2	-2	-2	-2
n00319	F2940A3C	F2940A3C	F2940A3C	0	0	-5	-5	-5	-5
n00320	3B66AD17	3B66AD17	3B66AD17	0	0	0	0	0	0
n00321	86284082	86284082	86284082	0	0	-3	-3	-3	-3
n00322	C48CC345	C48CC345	C48CC345	0	0	-1126	-1126	-1126	-1126
n00323	58B6687C	58B6687C	58B6687C	0	0	1	1	1	1
n00324	42108BD4	42108BD4	42108BD4	0	0	36	36	36	36
n00325	C0003D1D	C0003D1D	C0003D1D	0	0	-2	-2	-2	-2
n00326	E05A2A5B	E05A2A5B	E05A2A5B	0	0	-6	-6	-6	-6
n00327	F8E22CC3	F8E22CC3	F8E22CC3	0	0	-3	-3	-3	-3
n00328	BCF85C83	BCF85C83	BCF85C83	0	0	0	0	0	0
n00329	C83B0715	C83B0715	C83B0715	0	0	-191516	-191516	-191516	-191516
n00330	225533C9	225533C9	225533C9	0	0	2	2	2	2
n00331	53A30AE3	53A30AE3	53A30AE3	0	0	1	1	1	1
n00332	91D23CD5	91D23CD5	91D23CD5	0	0	-3	-3	-3	-3
n00333	D74CBE80	D74CBE80	D74CBE80	0	0	-2	-2	-2	-2
n00334	5BA7C0D0	5BA7C0D0	5BA7C0D0	0	0	9	9	9	9
n00335	FDC81775	FDC81775	FDC81775	0	0	-3	-3	-3	-3
n00336	7C56930F	7C56930F	7C56930F	0	0	4	4	4	4
n00337	B3ACCAED	B3ACCAED	B3ACCAED	0	0	-8	-8	-8	-8
n00338	47339C9D	47339C9D	47339C9D	0	0	45980	45980	45980	45980
n00339	DA0E2A4B	DA0E2A4B	DA0E2A4B	0	0	-1	-1	-1	-1
n00340	51289B08	51289B08	51289B08	0	0	4	4	4	4
n00341	10FD69BF	10FD69BF	10FD69BF	0	0	9	9	9	9
n00342	09D8F07F	09D8F07F	09D8F07F	0	0	5	5	5	5
n00343	A47FD23D	A47FD23D	A47FD23D	0	0	-5	-5	-5	-5
n00344	1146378F	1146378F	1146378F	0	0	1	1	1	1
n00345	F350D9DB	F350D9DB	F350D9DB	0	0	-1	-1	-1	-1
n00346	5C73ADD3	5C73ADD3	5C73ADD3	0	0	2	2	2	2
n00347	E70A4269	E70A4269	E70A4269	0	0	-6	-6	-6	-6
n00348	93661642	93661642	93661642	0	0	-2	-2	-2	-2
n00349	9144A0D5	9144A0D5	9144A0D5	0	0	-1	-1	-1	-1
n00350	93981794	93981794	93981794	0	0	-3	-3	-3	-3
n00351	6D084423	6D084423	6D084423	0	0	2	2	2	2
n00352	2CEF96DE	2CEF96DE	2CEF96DE	0	0	6	6	6	6
n00353	D69955E8	D69955E8	D69955E8	0	0	-8	-8	-8	-8
n00354	4D84AC3C	4D84AC3C	4D84AC3C	278235008	278235008	278235008	278235008	278235008	278235008
n00355	266AA77D	266AA77D	266AA77D	0	0	8	8	8	8
n00356	A9E60AE0	A9E60AE0	A9E60AE0	0	0	-1	-1	-1	-1
n00357	84D40E6A	84D40E6A	84D40E6A	0	0	-4	-4	-4	-4
n00358	FA6889E2	FA6889E2	FA6889E2	0	0	-3	-3	-3	-3
n00359	8F621C22	8F621C22	8F621C22	0	0	-1	-1	-1	-1
n00360	C4347CD1	C4347CD1	C4347CD1	0	0	-721	-721	-721	-721
