id	float_bits	strict_int	first_int
n00164	D41AEB6C	0	-2
n00165	599E73BB	0	5
n00166	D5258C06	0	-1
n00167	2E062F40	0	3
n00168	B1A15109	0	-4
n00169	EA9913D3	0	-9
n00170	C3158871	0	-149
n00171	7DE40977	0	3
n00172	304B5752	0	7
n00173	5C5B4129	0	2
n00174	94F95BD1	0	-2
n00175	EA9B8231	0	-9
n00176	8DA873B5	0	-1
n00177	754F2921	0	2
n00178	D6B23E79	0	-9
n00179	C8645956	0	-233829
n00180	A3372514	0	-9
n00181	E0A2F30E	0	-9
n00182	EC4383DA	0	-9
n00183	571BBC3F	0	1
n00184	98F0DBD7	0	-6
n00185	1C586E0C	0	7
n00186	804EFD9F	0	-7
n00187	4F13EAA7	0	2
n00188	0212B394	0	1
n00189	3FF964F9	0	1
n00190	9748AC3E	0	-6
n00191	C6E2BD10	0	-29022
n00192	AA5BA2A6	0	-1
n00193	15367033	0	3
n00194	978748EA	0	-8
n00195	397F3C24	0	0
n00196	90B067CD	0	-6
n00197	04117062	0	1
n00198	61C4ADEE	0	4
n00199	14B1DCB6	0	1
n00200	31429C77	0	2
n00201	A6576EE1	0	-7
n00202	D023B5A2	0	-1
n00203	86FD138B	0	-9
n00204	5AAB0CD1	0	2
n00205	AA021212	0	-1
n00206	C0B10346	0	-5
n00207	B5649094	0	-8
n00208	A8F92675	0	-2
n00209	C9577366	0	-882486
n00210	D4954DDA	0	-5
n00211	FDCD616B	0	-3
n00212	59419CAE	0	3
n00213	BED18369	0	0
n00214	23690462	0	1
n00215	80AEDFBA	0	-1
n00216	51DBCE0F	0	1
n00217	70B32016	0	4
n00218	B7B7BCA7	0	-2
n00219	FF4C1CD1	0	-2
n00220	A8003B2A	0	-7
n00221	88550791	0	-6
n00222	5A1251E5	0	1
n00223	9395648D	0	-3
n00224	FC8EAF1B	0	-5
n00225	10BFF67C	0	7
n00226	D24EF0FC	0	-2
n00227	F8FDB213	0	-4
n00228	62F2CAF2	0	2
n00229	4A09FA48	2260626	2260626
n00230	6A8AE194	0	8
n00231	3867A93E	0	5
n00232	DCBD02B3	0	-4
n00233	EDA24277	0	-6
n00234	37ADDDDD	0	2
n00235	BFE01F76	0	-1
n00236	314F994E	0	3
n00237	9A85D889	0	-5
n00238	7C7A58BB	0	5
n00239	DD4D3FDE	0	-9
n00240	7C6DCAB3	0	4
n00241	2F272F36	0	1
n00242	02E155C7	0	3
n00243	E09CA3EF	0	-9
n00244	81D6CAE6	0	-7
n00245	2DFE044B	0	2
n00246	E82E639D	0	-3
n00247	64B4FDB8	0	2
n00248	74E5BDA9	0	1
n00249	C29DD038	0	-78
n00250	4DDB63B1	460092960	460092960
n00251	0DF44C6A	0	1
n00252	FDC7892E	0	-3
n00253	606E7B38	0	6
n00254	C5F30055	0	-7776
n00255	A8E98AF2	0	-2
n00256	968732DE	0	-2
n00257	4E8BD8F3	0	1
n00258	703C9173	0	2
n00259	3CCAEB8D	0	0
n00260	F351A4EE	0	-1
n00261	EFF6C66F	0	-1
n00262	D78AC7B6	0	-3
n00263	B7139E4B	0	-8
n00264	EC3ECCC7	0	-9
n00265	D8A5DC94	0	-1
n00266	078EEB7D	0	2
n00267	50019D18	0	8
n00268	AD35A4E5	0	-1
n00269	6849017D	0	3
n00270	F0FB2D63	0	-6
n00271	BD247C84	0	0
n00272	2A1FF278	0	1
n00273	E1B1CA1F	0	-4
n00274	AE24AA3D	0	-3
n00275	9D6559D6	0	-3
n00276	ADA5CCC7	0	-1
n00277	4B0BE494	9168020	9168020
n00278	2211DBEF	0	1
n00279	22F3DD98	0	6
n00280	6D729803	0	4
n00281	2349E564	0	1
n00282	B3829BC7	0	-6
n00283	9BD7E29D	0	-3
n00284	3FE5E39C	0	1
n00285	1723D745	0	5
n00286	6A0DBC93	0	4
n00287	6C40C453	0	9
n00288	C2DD47A0	0	-110
n00289	1ADA138A	0	9
n00290	E287734E	0	-1
n00291	48E16A7F	0	461651
n00292	EF05E28C	0	-4
n00293	C68D12F5	0	-18057
n00294	3A70F965	0	0
n00295	E87DC559	0	-4
n00296	11E789AC	0	3
n00297	27BED6BC	0	5
n00298	EF5B309B	0	-6
n00299	B344A5DA	0	-4
n00300	C079C56F	0	-3
n00301	B35A4943	0	-5
n00302	F3954ABE	0	-2
n00303	B9E5F2DC	0	0
n00304	C4CA085D	0	-1616
n00305	5D24BCDF	0	7
n00306	93984695	0	-3
n00307	D0C37F01	0	-2
n00308	CD3BB556	-196826464	-196826464
n00309	D6DD9DD0	0	-1
n00310	E4E92659	0	-3
n00311	DEDBC903	0	-7
n00312	0ABC35E8	0	1
n00313	12493454	0	6
n00314	44615D95	0	901
n00315	C3F9AA5E	0	-499
n00316	B84FA8E3	0	-4
n00317	2A890C37	0	2
n00318	C018D51B	0	-2
n00319	F2940A3C	0	-5
n00320	3B66AD17	0	0
n00321	86284082	0	-3
n00322	C48CC345	0	-1126
n00323	58B6687C	0	1
n00324	42108BD4	0	36
n00325	C0003D1D	0	-2
n00326	E05A2A5B	0	-6
n00327	F8E22CC3	0	-3
n00328	BCF85C83	0	0
n00329	C83B0715	0	-191516
n00330	225533C9	0	2
n00331	53A30AE3	0	1
n00332	91D23CD5	0	-3
n00333	D74CBE80	0	-2
n00334	5BA7C0D0	0	9
n00335	FDC81775	0	-3
n00336	7C56930F	0	4
n00337	B3ACCAED	0	-8
n00338	47339C9D	0	45980
n00339	DA0E2A4B	0	-1
n00340	51289B08	0	4
n00341	10FD69BF	0	9
n00342	09D8F07F	0	5
n00343	A47FD23D	0	-5
n00344	1146378F	0	1
n00345	F350D9DB	0	-1
n00346	5C73ADD3	0	2
n00347	E70A4269	0	-6
n00348	93661642	0	-2
n00349	9144A0D5	0	-1
n00350	93981794	0	-3
n00351	6D084423	0	2
n00352	2CEF96DE	0	6
n00353	D69955E8	0	-8
n00354	4D84AC3C	278235008	278235008
n00355	266AA77D	0	8
n00356	A9E60AE0	0	-1
n00357	84D40E6A	0	-4
n00358	FA6889E2	0	-3
n00359	8F621C22	0	-1
n00360	C4347CD1	0	-721
n00361	8DE88FF0	0	-1
n00362	25F97D39	0	4
n00363	8CEFE790	0	-3
n00364	70378FA5	0	2
n00365	9C7A3622	0	-8
n00366	6A8164DE	0	7
n00367	06153ECF	0	2
n00368	6D2A204E	0	3
n00369	4E87A35C	0	1
n00370	9A0F0FE8	0	-2
n00371	C2903381	0	-72
n00372	1AC464AC	0	8
n00373	53C8BFD4	0	1
n00374	2D64438B	0	1
n00375	E9472C26	0	-1
n00376	E56A1181	0	-6
n00377	D17CC244	0	-6
n00378	E3F1420A	0	-8
n00379	E4805D32	0	-1
n00380	3A32F5FA	0	0
n00381	0D133A44	0	4
n00382	31254B4E	0	2
n00383	EBB70CEB	0	-4
n00384	C3842E13	0	-264
n00385	9641DA88	0	-1
n00386	5076343D	0	1
n00387	8C2B2703	0	-1
n00388	DCCEDCE6	0	-4
n00389	0F1AE08C	0	7
n00390	C40B2ED7	0	-556
n00391	EF1EB1B9	0	-4
n00392	B2223995	0	-9
n00393	9F026D97	0	-2
n00394	98A1E252	0	-4
n00395	0598097C	0	1
n00396	93747FF6	0	-3
n00397	2E7D978B	0	5
n00398	0CAA2FF3	0	2
n00399	E87B8C99	0	-4
n00400	8B9C8BDE	0	-6
n00401	46151AE9	0	9542
n00402	2C4F08BB	0	2
n00403	5D2878D4	0	7
n00404	CAB309CF	0	-5866727
n00405	86BC8840	0	-7
n00406	076019F0	0	1
n00407	CF24F40C	0	-2
n00408	81BF35D6	0	-7
n00409	ED1C8DD9	0	-3
n00410	DD9EF02D	0	-1
n00411	4DA77799	351204128	351204128
n00412	5A084795	0	9
n00413	D9E45BFF	0	-8
n00414	BF9B46A2	0	-1
n00415	5FFDCDF8	0	3
n00416	8B859459	0	-5
n00417	158F990F	0	5
n00418	09D7A859	0	5
n00419	3C3BFEB0	0	0
n00420	7140A6CA	0	9
n00421	7D9A8E07	0	2
n00422	404D853E	0	3
n00423	120AB92A	0	4
n00424	56BA7335	0	1
n00425	CB318B23	-11635491	-11635491
n00426	ED4B9652	0	-3
n00427	A4CA65A2	0	-8
n00428	EDA59ACA	0	-6
n00429	722B66E2	0	3
n00430	06DCA59E	0	8
n00431	5A0D8C0A	0	9
n00432	FEE03ECD	0	-1
n00433	B418FEDF	0	-1
n00434	F9E238FC	0	-1
n00435	387DCE9C	0	6
n00436	97394F13	0	-5
n00437	DB36E220	0	-5
n00438	1D40F1CB	0	2
n00439	F328D14A	0	-1
n00440	EFDFCB6E	0	-1
n00441	883DD078	0	-5
n00442	D01A029E	0	-1
n00443	9152DF1A	0	-1
n00444	9872D349	0	-3
n00445	A33934C4	0	-1
n00446	E3F75698	0	-9
n00447	C47E4828	0	-1017
n00448	67629C75	0	1
n00449	D7360B6C	0	-2
n00450	08DD83FD	0	1
n00451	DDF3B6B8	0	-2
n00452	48803555	0	262570
n00453	F134EDCB	0	-8
n00454	DC9D24AF	0	-3
n00455	83C4655F	0	-1
n00456	2FC13731	0	3
n00457	6719BAF3	0	7
n00458	7F0845E0	0	1
n00459	0D97A4FE	0	9
n00460	8A52BA7E	0	-1
n00461	0FDC6284	0	2
n00462	9CE6AC23	0	-1
n00463	8C98CFE7	0	-2
n00464	C411F9FA	0	-583
n00465	830DF95D	0	-4
n00466	97858911	0	-8
n00467	51B013DA	0	9
n00468	3DE251C2	0	0
n00469	90C1E97A	0	-7
n00470	461BC926	0	9970
n00471	E02CC3D1	0	-4
n00472	3D55C09A	0	0
n00473	303E41CD	0	6
n00474	398B11B1	0	0
n00475	3B0C0E4A	0	0
n00476	CFCA72FF	0	-6
n00477	2F4D29AB	0	1
n00478	48746C6C	0	250289
n00479	B08F4197	0	-1
n00480	DDCD3F1B	0	-1
n00481	9BF34B44	0	-4
n00482	1200E722	0	4
n00483	BB54EC7A	0	0
n00484	9372ADA2	0	-3
n00485	97E5D505	0	-1
n00486	CE012DA1	-541812800	-541812800
n00487	24F1A5EB	0	1
n00488	41433C0C	0	12
n00489	4511E286	0	2334
n00490	248DA564	0	6
n00491	26EF3610	0	1
n00492	3DF1117D	0	0
n00493	F09EDDE5	0	-3
n00494	5A31C78A	0	1
n00495	750EE160	0	1
n00496	D9D18852	0	-7
n00497	181F3C91	0	2
n00498	A3D1BADA	0	-2
n00499	004A765C	0	6
n00500	299F921E	0	7
n00501	DE4E5F70	0	-3
n00502	361FC9E7	0	2
n00503	EE01E3ED	0	-1
n00504	D0301731	0	-1
n00505	2D585902	0	1
n00506	258D80FA	0	2
n00507	621D339D	0	7
n00508	87FB0C07	0	-3
n00509	742CAE09	0	5
n00510	E8FEE3A5	0	-9
n00511	69B9F63B	0	2
n00512	BAEACBDF	0	0
n00513	31E0757F	0	6
n00514	39A151AC	0	0
n00515	DAFB0DC3	0	-3
n00516	A774A40D	0	-3
n00517	0CA99B0A	0	2
n00518	C2047E9B	0	-33
n00519	20DB9D1F	0	3
n00520	7EAFC69B	0	1
n00521	10549A5E	0	4
n00522	612E8F10	0	2
n00523	C7B293DE	0	-91431
n00524	4876F32B	0	252876
n00525	C055FDF7	0	-3
n00526	F3AE447C	0	-2
n00527	0BC7AC0B	0	7
n00528	9ECA741C	0	-2
n00529	8F87719D	0	-1
n00530	358EAD40	0	1
n00531	672EC7B4	0	8
n00532	B5DCB74E	0	-1
n00533	2FC29798	0	3
n00534	D9CDE433	0	-7
n00535	77B66BD7	0	7
n00536	5C2946EE	0	1
n00537	5D763306	0	1
n00538	F667788D	0	-1
n00539	31F33AA7	0	7
n00540	F9EE92D4	0	-1
n00541	AC09B3FB	0	-1
n00542	7865CFBB	0	1
n00543	6AD96D0E	0	1
n00544	B5B9EB26	0	-1
n00545	93C01696	0	-4
n00546	6A9D73B6	0	9
n00547	46880B5E	0	17413
n00548	BD4989F4	0	0
n00549	269776B1	0	1
n00550	77E585C8	0	9
n00551	49515962	0	857494
n00552	44FC90DD	0	2020
n00553	029181B8	0	2
n00554	A30EAA28	0	-7
n00555	B8B7257A	0	-8
n00556	59C8A2CB	0	7
n00557	0AE8AD6A	0	2
n00558	BA03E784	0	0
n00559	2C71E149	0	3
n00560	F16E7EC8	0	-1
n00561	CDDABEEE	-458743232	-458743232
n00562	1DF65EDC	0	6
n00563	BA270E9F	0	0
n00564	E3400122	0	-3
n00565	0E893A8F	0	3
n00566	90E36D68	0	-8
n00567	42F92577	0	124
n00568	97076CC1	0	-4
n00569	B22AA972	0	-9
n00570	810B13E6	0	-2
n00571	4E1C9635	656772416	656772416
n00572	E242A88B	0	-8
n00573	D35A96DD	0	-9
n00574	E906452D	0	-1
n00575	12E911CE	0	1
n00576	827DAC16	0	-1
n00577	CFEB96AF	0	-7
n00578	8233EE1A	0	-1
n00579	83351D86	0	-5
n00580	5AE9FE95	0	3
n00581	D085AC6F	0	-1
n00582	356EBAE3	0	8
n00583	B940AC07	0	0
n00584	C3A49160	0	-329
n00585	52AFEEB4	0	3
n00586	68122DD5	0	2
n00587	2C86A72A	0	3
n00588	1DA78327	0	4
n00589	63EB7708	0	8
n00590	3EA47DEB	0	0
n00591	6DD9EC9D	0	8
n00592	ABC3AE71	0	-1
n00593	C887065E	0	-276530
n00594	5AFAAA9A	0	3
n00595	DF19EA80	0	-1
n00596	52F56D80	0	5
n00597	2350E58A	0	1
n00598	311E2A16	0	2
n00599	59A92C43	0	5
n00600	54424180	0	3
n00601	1DE69CCB	0	6
n00602	03798009	0	7
n00603	26E7E9CF	0	1
n00604	48C59ADD	0	404694
n00605	3F034791	0	0
n00606	DB438C40	0	-5
n00607	5EB2521D	0	6
n00608	9219A62D	0	-4
n00609	56D2CD4F	0	1
n00610	D0812E75	0	-1
n00611	9E622382	0	-1
n00612	33555CF3	0	4
n00613	914C1560	0	-1
n00614	6657D7A9	0	2
n00615	71AFDE0E	0	1
n00616	9DF693C7	0	-6
n00617	A50B300F	0	-1
n00618	8B39E16C	0	-3
n00619	CF678654	0	-3
n00620	AD5FF6A0	0	-1
n00621	E9CA8CA8	0	-3
n00622	893E307F	0	-2
n00623	C35A0DC7	0	-218
n00624	43400B8F	0	192
n00625	C85551D5	0	-218439
n00626	8711C8DE	0	-1
n00627	41C6E580	0	24
n00628	E47F933E	0	-1
n00629	18C3D4E2	0	5
n00630	F17B30BE	0	-1
n00631	646AB67A	0	1
n00632	B63556AB	0	-2
n00633	BE586920	0	0
n00634	309E86C8	0	1
n00635	10383F7E	0	3
n00636	42B3910A	0	89
n00637	27405A9B	0	2
n00638	11D3A333	0	3
n00639	D2A568DD	0	-3
n00640	F8CAE646	0	-3
n00641	286D4093	0	1
n00642	46688AC8	0	14882
n00643	D9ABD9C0	0	-6
n00644	59A77466	0	5
n00645	C824C954	0	-168741
n00646	19CCA171	0	2
n00647	250920ED	0	1
n00648	F3A026A5	0	-2
n00649	EF23C0BF	0	-5
n00650	BC574F91	0	0
n00651	DC3182D3	0	-1
n00652	CDFC6B47	-529361120	-529361120
n00653	6FC9B487	0	1
n00654	4EFA8C18	0	2
n00655	CF1ABF19	0	-2
n00656	E344BC7C	0	-3
n00657	7742801C	0	3
n00658	4F183C1C	0	2
n00659	A8760E81	0	-1
n00660	1B044FD8	0	1
n00661	52EDD473	0	5
n00662	933B1433	0	-2
n00663	A6F3E705	0	-1
n00664	8E47F342	0	-2
n00665	6EEE508E	0	3
n00666	017E2F79	0	4
n00667	093088C5	0	2
n00668	6A9020FB	0	8
n00669	5F03207C	0	9
n00670	C3696AD7	0	-233
n00671	46034F15	0	8403
n00672	A5BB4A1D	0	-3
n00673	27630699	0	3
n00674	06BE4504	0	7
n00675	7172C82D	0	1
n00676	22861599	0	3
n00677	D1F17F2A	0	-1
n00678	03DE4581	0	1
n00679	5E44CF28	0	3
n00680	DD4EDE79	0	-9
n00681	C00BD143	0	-2
n00682	B2856251	0	-1
n00683	08E7A068	0	1
n00684	7008CAB0	0	1
n00685	8CFE39F5	0	-3
n00686	D4E9DF99	0	-8
n00687	A1E559DA	0	-1
n00688	E3ECFFC6	0	-8
n00689	DDA574FF	0	-1
n00690	FB863E66	0	-1
n00691	0FBBFD1C	0	1
n00692	E7FBC483	0	-2
n00693	C8EF7E30	0	-490481
n00694	9EB98A0A	0	-1
n00695	05B42445	0	1
n00696	A73D0B69	0	-2
n00697	6AC5269B	0	1
n00698	A1656ED8	0	-7
n00699	FF78D7DE	0	-3
n00700	25DCB0FF	0	3
n00701	60788172	0	7
n00702	F6A3CE99	0	-1
n00703	0C03C83D	0	1
n00704	D08AA431	0	-1
n00705	D75F0805	0	-2
n00706	81571013	0	-3
n00707	530E9409	0	6
n00708	FF4BE779	0	-2
n00709	A71F2C1E	0	-2
n00710	8F7894CD	0	-1
n00711	231DC8FD	0	8
n00712	A32369BE	0	-8
n00713	277AEB24	0	3
n00714	300322DE	0	4
n00715	01DD41A1	0	8
n00716	6B378066	0	2
n00717	404EEDC4	0	3
n00718	2F9E5331	0	2
n00719	3E7FF587	0	0
n00720	B7AD13FA	0	-2
n00721	8245B8F6	0	-1
n00722	57C466E3	0	4
n00723	0B9BC677	0	6
n00724	22E52FC9	0	6
n00725	41C59682	0	24
n00726	DB7E9FA1	0	-7
n00727	E7AA5672	0	-1
n00728	C2DFA2EB	0	-111
n00729	84546FD5	0	-2
n00730	3FCD3278	0	1
n00731	35E35CE4	0	1
n00732	56EE27CF	0	1
n00733	204A0EBF	0	1
n00734	89A5C590	0	-3
n00735	D8138A26	0	-6
n00736	A9B6C7B3	0	-8
n00737	F96BE816	0	-7
n00738	5F9F7D84	0	2
n00739	E58D1FDE	0	-8
n00740	0A522CDE	0	1
n00741	9E2A8702	0	-9
n00742	5FF37C13	0	3
n00743	3146FB3C	0	2
n00744	F6164512	0	-7
n00745	63C4AB36	0	7
n00746	3CEDD046	0	0
n00747	F4918359	0	-9
n00748	273CCA54	0	2
n00749	F2E12AC1	0	-8
n00750	A8D4264D	0	-2
n00751	DCB5C45E	0	-4
n00752	17DE287F	0	1
n00753	ABEEF4B9	0	-1
n00754	8B9E3766	0	-6
n00755	88D7AD01	0	-1
n00756	A819263D	0	-8
n00757	3211BA1D	0	8
n00758	1BA85808	0	2
n00759	7A2981A0	0	2
n00760	9FE85273	0	-9
n00761	2975EA25	0	5
n00762	1F3682A3	0	3
n00763	1D938936	0	3
n00764	2EF4E923	0	1
n00765	707826BB	0	3
n00766	F5E75FB8	0	-5
n00767	982ECBD2	0	-2
n00768	D692B4EB	0	-8
n00769	E5F90D36	0	-1
n00770	609AE6F7	0	8
n00771	C47AE944	0	-1003
n00772	73F2E181	0	3
n00773	BFB4CD9D	0	-1
n00774	87F05512	0	-3
n00775	4DDF8031	468715040	468715040
n00776	93598A90	0	-2
n00777	9148DA52	0	-1
n00778	4BB1BC4D	23296154	23296154
n00779	5388A134	0	1
n00780	BFB8045B	0	-1
n00781	64E9CF0C	0	3
n00782	468060DD	0	16432
n00783	A69A14EA	0	-1
n00784	7347F8B2	0	1
n00785	7931A906	0	5
n00786	E2944CD1	0	-1
n00787	34C9F59C	0	3
n00788	9DCB7B8D	0	-5
n00789	A9600833	0	-4
n00790	AE1FBC5E	0	-3
n00791	1513D4E1	0	2
n00792	334E176B	0	4
n00793	710C3013	0	6
n00794	1CCF4A36	0	1
n00795	F00261B0	0	-1
n00796	D0BE4233	0	-2
n00797	79303B4C	0	5
n00798	5160C693	0	6
n00799	8AC7E3D7	0	-1
n00800	AA9C6BEE	0	-2
n00801	0A24C5E9	0	7
n00802	4A3B0FD5	0	3064821
n00803	9C19D087	0	-5
n00804	C8B18D6C	0	-363627
n00805	AE25CAA9	0	-3
n00806	5BE1A5AA	0	1
n00807	3681ACC5	0	3
n00808	DCCBAC21	0	-4
n00809	0038D58D	0	5
n00810	F4967F29	0	-9
n00811	5A64C2B3	0	1
n00812	46C0C0CC	0	24672
n00813	A6310856	0	-6
n00814	D8A2FEA3	0	-1
n00815	DECB69D7	0	-7
n00816	78D086AF	0	3
n00817	FBD908F4	0	-2
n00818	FEB25015	0	-1
n00819	5898CA22	0	1
n00820	6DAC61C1	0	6
n00821	495D46F6	0	906351
n00822	350DBA72	0	5
n00823	8AF4C6C6	0	-2
n00824	94BB2376	0	-1
n00825	FDE9F2D3	0	-3
n00826	D8A5B223	0	-1
n00827	ED33771E	0	-3
n00828	8CB82EA4	0	-2
n00829	24A3D6E1	0	7
n00830	D79C6DB2	0	-3
n00831	DC4AE38C	0	-2
n00832	6FC16956	0	1
n00833	BDFC2439	0	0
n00834	977D53CB	0	-8
n00835	02470877	0	1
n00836	91ABB524	0	-2
n00837	FC8EFD0F	0	-5
n00838	90DC1675	0	-8
n00839	83EF6610	0	-1
n00840	2E1F982C	0	3
n00841	0A691B7A	0	1
n00842	D9BDEC65	0	-6
n00843	16BDBCB4	0	3
n00844	3AB11172	0	0
n00845	F7DFF5F6	0	-9
n00846	C3F43A86	0	-488
n00847	6439FBBA	0	1
n00848	C7DF2A23	0	-114260
n00849	01EDDAED	0	8
n00850	4DBEDCAB	400266592	400266592
n00851	1163686F	0	1
n00852	9C3C632E	0	-6
n00853	AE5B6199	0	-4
n00854	F8E64CE5	0	-3
n00855	DB78DB92	0	-7
n00856	80C58707	0	-1
n00857	3566A710	0	8
n00858	3B442855	0	0
n00859	8CB7538F	0	-2
n00860	52AE6042	0	3
n00861	C27E336B	0	-63
n00862	DD386392	0	-8
n00863	533AD76B	0	8
n00864	EDFCEDE1	0	-9
n00865	BFE49CBF	0	-1
n00866	C085E200	0	-4
n00867	B7FF2755	0	-3
n00868	0A04F04C	0	6
n00869	C6C2DBC2	0	-24941
n00870	62443B1F	0	9
n00871	D43E7B57	0	-3
n00872	299BA170	0	6
n00873	BC0CB3ED	0	0
n00874	23069938	0	7
n00875	7E08A6A7	0	4
n00876	0F5F1AA0	0	1
n00877	EB863AF1	0	-3
n00878	08693C7A	0	7
n00879	BA185F4D	0	0
n00880	B700AD40	0	-7
n00881	1F1491F5	0	3
n00882	5A132D62	0	1
n00883	6AE00D2B	0	1
n00884	10972254	0	5
n00885	9F78F18F	0	-5
n00886	78ADF896	0	2
n00887	6235FB20	0	8
n00888	9B2B486D	0	-1
n00889	094D0EF4	0	2
n00890	7B43AAAF	0	1
n00891	ED466221	0	-3
n00892	80D24DBD	0	-1
n00893	272DA63F	0	2
n00894	040707AD	0	1
n00895	3C0151F4	0	0
n00896	729ED8C0	0	6
n00897	4CAC177D	90225640	90225640
n00898	56F5C2C1	0	1
n00899	0E51F0AC	0	2
n00900	5F2F8D2D	0	1
n00901	F5551E6F	0	-2
n00902	39385641	0	0
n00903	978AE2E8	0	-8
n00904	53F755B9	0	2
n00905	88B8CCD9	0	-1
n00906	8275EB23	0	-1
n00907	82DBA9D3	0	-3
n00908	45AEF3E9	0	5598
n00909	6D48907E	0	3
n00910	DF86233A	0	-1
