group	type	slot	action	declared	wait	next	latch	counter	state	y	yref	hp	mp	destHp	destMp	fallback	recmp	mode	doubleCost	waived	local	link	hold	lives	queuedHp	cpoint	drain	hitD	facing	stepStatus	rawNext	entered	flipped	actionOut	latchOut	counterOut	facingOut	hpOut	mpOut	boundOut	hpConsumed	mpConsumed	vxOut	vyOut	vzOut	pendingOut	codeOut	soundLatchOut	audioCount	lifePending	despawned	encodedResets	lifeRejected	survives	finalAction	finalLatch	finalCollisionAction	finalPrevious078	finalStateCode
next	3	0	0	1	0	-212	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	-212	0	1	212	212	0	1	100	100	200	0	0	4.25	-9.5	-2.5	0	0	212	1	0	0	0	0	1	212	212	44	45	0
next	3	0	0	1	0	-212	0	0	0	-10	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	-212	0	1	212	212	0	1	100	100	200	0	0	4.25	-9.5	-2.5	0	0	212	1	0	0	0	0	1	212	212	44	45	0
next	3	0	0	1	0	-212	0	0	0	-10	-10	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	-212	0	1	212	212	0	1	100	100	200	0	0	4.25	-9.5	-2.5	0	0	212	1	0	0	0	0	1	212	212	44	45	0
next	4	0	0	1	0	-212	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	-212	0	1	212	212	0	1	100	100	200	0	0	4.25	-9.5	-2.5	0	0	212	1	0	0	0	0	1	212	212	44	45	0
next	4	0	0	1	0	-212	0	0	0	-10	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	-212	0	1	212	212	0	1	100	100	200	0	0	4.25	-9.5	-2.5	0	0	212	1	0	0	0	0	1	212	212	44	45	0
next	4	0	0	1	0	-212	0	0	0	-10	-10	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	-212	0	1	212	212	0	1	100	100	200	0	0	4.25	-9.5	-2.5	0	0	212	1	0	0	0	0	1	212	212	44	45	0
next	0	0	0	1	0	-7	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	-7	0	1	7	7	0	1	100	100	200	0	0	1.25	2.25	3.25	0	0	7	2	0	0	0	0	1	7	7	44	45	0
next	0	0	0	1	0	-7	0	0	0	-10	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	-7	0	1	7	7	0	1	100	100	200	0	0	1.25	2.25	3.25	0	0	7	2	0	0	0	0	1	7	7	44	45	0
next	0	0	0	1	0	-7	0	0	0	-10	-10	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	-7	0	1	7	7	0	1	100	100	200	0	0	1.25	2.25	3.25	0	0	7	2	0	0	0	0	1	7	7	44	45	0
next	3	0	0	1	0	-7	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	-7	0	1	7	7	0	1	100	100	200	0	0	1.25	2.25	3.25	0	0	7	2	0	0	0	0	1	7	7	44	45	0
next	3	0	0	1	0	-7	0	0	0	-10	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	-7	0	1	7	7	0	1	100	100	200	0	0	1.25	2.25	3.25	0	0	7	2	0	0	0	0	1	7	7	44	45	0
next	3	0	0	1	0	-7	0	0	0	-10	-10	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	-7	0	1	7	7	0	1	100	100	200	0	0	1.25	2.25	3.25	0	0	7	2	0	0	0	0	1	7	7	44	45	0
next	4	0	0	1	0	-7	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	-7	0	1	7	7	0	1	100	100	200	0	0	1.25	2.25	3.25	0	0	7	2	0	0	0	0	1	7	7	44	45	0
next	4	0	0	1	0	-7	0	0	0	-10	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	-7	0	1	7	7	0	1	100	100	200	0	0	1.25	2.25	3.25	0	0	7	2	0	0	0	0	1	7	7	44	45	0
next	4	0	0	1	0	-7	0	0	0	-10	-10	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	-7	0	1	7	7	0	1	100	100	200	0	0	1.25	2.25	3.25	0	0	7	2	0	0	0	0	1	7	7	44	45	0
next	0	0	0	1	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	100	100	200	0	0	1.25	2.25	3.25	0	0	0	1	0	0	0	0	1	0	0	44	45	0
next	0	0	0	1	0	0	0	0	0	-10	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	100	100	200	0	0	1.25	2.25	3.25	0	0	0	1	0	0	0	0	1	0	0	44	45	0
next	0	0	0	1	0	0	0	0	0	-10	-10	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	100	100	200	0	0	1.25	2.25	3.25	0	0	0	1	0	0	0	0	1	0	0	44	45	0
next	3	0	0	1	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	100	100	200	0	0	1.25	2.25	3.25	0	0	0	1	0	0	0	0	1	0	0	44	45	0
next	3	0	0	1	0	0	0	0	0	-10	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	100	100	200	0	0	1.25	2.25	3.25	0	0	0	1	0	0	0	0	1	0	0	44	45	0
next	3	0	0	1	0	0	0	0	0	-10	-10	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	100	100	200	0	0	1.25	2.25	3.25	0	0	0	1	0	0	0	0	1	0	0	44	45	0
next	4	0	0	1	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	100	100	200	0	0	1.25	2.25	3.25	0	0	0	1	0	0	0	0	1	0	0	44	45	0
next	4	0	0	1	0	0	0	0	0	-10	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	100	100	200	0	0	1.25	2.25	3.25	0	0	0	1	0	0	0	0	1	0	0	44	45	0
next	4	0	0	1	0	0	0	0	0	-10	-10	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	100	100	200	0	0	1.25	2.25	3.25	0	0	0	1	0	0	0	0	1	0	0	44	45	0
next	0	0	0	1	0	7	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	7	0	0	7	7	0	0	100	100	200	0	0	1.25	2.25	3.25	0	0	7	2	0	0	0	0	1	7	7	44	45	0
next	0	0	0	1	0	7	0	0	0	-10	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	7	0	0	7	7	0	0	100	100	200	0	0	1.25	2.25	3.25	0	0	7	2	0	0	0	0	1	7	7	44	45	0
next	0	0	0	1	0	7	0	0	0	-10	-10	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	7	0	0	7	7	0	0	100	100	200	0	0	1.25	2.25	3.25	0	0	7	2	0	0	0	0	1	7	7	44	45	0
next	3	0	0	1	0	7	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	7	0	0	7	7	0	0	100	100	200	0	0	1.25	2.25	3.25	0	0	7	2	0	0	0	0	1	7	7	44	45	0
next	3	0	0	1	0	7	0	0	0	-10	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	7	0	0	7	7	0	0	100	100	200	0	0	1.25	2.25	3.25	0	0	7	2	0	0	0	0	1	7	7	44	45	0
next	3	0	0	1	0	7	0	0	0	-10	-10	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	7	0	0	7	7	0	0	100	100	200	0	0	1.25	2.25	3.25	0	0	7	2	0	0	0	0	1	7	7	44	45	0
next	4	0	0	1	0	7	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	7	0	0	7	7	0	0	100	100	200	0	0	1.25	2.25	3.25	0	0	7	2	0	0	0	0	1	7	7	44	45	0
next	4	0	0	1	0	7	0	0	0	-10	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	7	0	0	7	7	0	0	100	100	200	0	0	1.25	2.25	3.25	0	0	7	2	0	0	0	0	1	7	7	44	45	0
next	4	0	0	1	0	7	0	0	0	-10	-10	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	7	0	0	7	7	0	0	100	100	200	0	0	1.25	2.25	3.25	0	0	7	2	0	0	0	0	1	7	7	44	45	0
next	0	0	0	1	0	212	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	212	0	0	212	212	0	0	100	100	200	0	0	4.25	-9.5	-2.5	0	0	212	1	0	0	0	0	1	212	212	44	45	0
next	0	0	0	1	0	212	0	0	0	-10	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	212	0	0	212	212	0	0	100	100	200	0	0	4.25	-9.5	-2.5	0	0	212	1	0	0	0	0	1	212	212	44	45	0
next	0	0	0	1	0	212	0	0	0	-10	-10	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	212	0	0	212	212	0	0	100	100	200	0	0	4.25	-9.5	-2.5	0	0	212	1	0	0	0	0	1	212	212	44	45	0
next	3	0	0	1	0	212	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	212	0	0	212	212	0	0	100	100	200	0	0	4.25	-9.5	-2.5	0	0	212	1	0	0	0	0	1	212	212	44	45	0
next	3	0	0	1	0	212	0	0	0	-10	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	212	0	0	212	212	0	0	100	100	200	0	0	4.25	-9.5	-2.5	0	0	212	1	0	0	0	0	1	212	212	44	45	0
next	3	0	0	1	0	212	0	0	0	-10	-10	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	212	0	0	212	212	0	0	100	100	200	0	0	4.25	-9.5	-2.5	0	0	212	1	0	0	0	0	1	212	212	44	45	0
next	4	0	0	1	0	212	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	212	0	0	212	212	0	0	100	100	200	0	0	4.25	-9.5	-2.5	0	0	212	1	0	0	0	0	1	212	212	44	45	0
next	4	0	0	1	0	212	0	0	0	-10	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	212	0	0	212	212	0	0	100	100	200	0	0	4.25	-9.5	-2.5	0	0	212	1	0	0	0	0	1	212	212	44	45	0
next	4	0	0	1	0	212	0	0	0	-10	-10	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	212	0	0	212	212	0	0	100	100	200	0	0	4.25	-9.5	-2.5	0	0	212	1	0	0	0	0	1	212	212	44	45	0
next	0	0	0	1	0	857	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	857	0	0	857	857	0	0	100	100	200	0	0	1.25	2.25	3.25	0	0	857	1	0	0	0	0	1	857	857	44	45	0
next	0	0	0	1	0	857	0	0	0	-10	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	857	0	0	857	857	0	0	100	100	200	0	0	1.25	2.25	3.25	0	0	857	1	0	0	0	0	1	857	857	44	45	0
next	0	0	0	1	0	857	0	0	0	-10	-10	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	857	0	0	857	857	0	0	100	100	200	0	0	1.25	2.25	3.25	0	0	857	1	0	0	0	0	1	857	857	44	45	0
next	3	0	0	1	0	857	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	857	0	0	857	857	0	0	100	100	200	0	0	1.25	2.25	3.25	0	0	857	1	0	0	0	0	1	857	857	44	45	0
next	3	0	0	1	0	857	0	0	0	-10	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	857	0	0	857	857	0	0	100	100	200	0	0	1.25	2.25	3.25	0	0	857	1	0	0	0	0	1	857	857	44	45	0
next	3	0	0	1	0	857	0	0	0	-10	-10	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	857	0	0	857	857	0	0	100	100	200	0	0	1.25	2.25	3.25	0	0	857	1	0	0	0	0	1	857	857	44	45	0
