oldPath,class,oldGuid,ownerClass,serializedReferrers,exactScriptLiteralReferrers,formalCandidate,requiredBeforeRetirement,deleteAuthorized
Assets/NTSD/Sprite/UIPanels/BattleHud/Contro_2.png,OTHER_IMAGE_OWNER_REVIEW,3b270b79421cafa488da6858c55d1adc,BATTLE_HUD_UI,"[""Assets/NTSD/Scene/NTSD_Battle.unity""]",[],,Preserve Battle Scene HUD/UI serialized reference,false
Assets/NTSD/Sprite/UIPanels/BattleHud/DefendBtn.png,OTHER_IMAGE_OWNER_REVIEW,d79b0978bf6ea584b9c8cb3a0fb07650,BATTLE_HUD_UI,"[""Assets/NTSD/Scene/NTSD_Battle.unity""]",[],,Preserve Battle Scene HUD/UI serialized reference,false
Assets/NTSD/Sprite/UIPanels/BattleHud/HUD-BG.png,OTHER_IMAGE_OWNER_REVIEW,86e788cebde2bcd45bc365438367c189,BATTLE_HUD_UI,"[""Assets/NTSD/Scene/NTSD_Battle.unity""]",[],,Preserve Battle Scene HUD/UI serialized reference,false
Assets/NTSD/Sprite/UIPanels/BattleHud/JumpBtn.png,OTHER_IMAGE_OWNER_REVIEW,6eb12a2d6fc42cc418214d5a37347441,BATTLE_HUD_UI,"[""Assets/NTSD/Scene/NTSD_Battle.unity""]",[],,Preserve Battle Scene HUD/UI serialized reference,false
Assets/NTSD/Sprite/UIPanels/BattleHud/naruto_s.png,OTHER_IMAGE_OWNER_REVIEW,57bbfdb562466dc4fae25bf18a6a7fad,BATTLE_HUD_UI,"[""Assets/NTSD/Scene/NTSD_Battle.unity""]",[],,Preserve Battle Scene HUD/UI serialized reference,false
Assets/NTSD/Sprite/UIPanels/blue_Box.png,OTHER_IMAGE_OWNER_REVIEW,14aebecdc8768da41944028ed980aa34,MENU_UI,"[""Assets/NTSD/Scene/NTSD_Menu.unity""]",[],,Preserve Menu Scene serialized UI reference,false
Assets/NTSD/Sprite/UIPanels/CHARMENU.bmp,OTHER_IMAGE_OWNER_REVIEW,0b08cc9478a2f1f48bea20c314ae0049,MENU_UI,"[""Assets/NTSD/Scene/NTSD_Menu.unity""]",[],,Preserve Menu Scene serialized UI reference,false
Assets/NTSD/Sprite/UIPanels/CM1.png,OTHER_IMAGE_OWNER_REVIEW,54b88b064f519be44b1883716c12f6c0,GAMECONFIG_MENU_UI,"[""Assets/NTSD/Config/GameConfig/GameConfig.asset""]",[],,Preserve GameConfig and Menu UI references; outside bulk character-image retirement,false
Assets/NTSD/Sprite/UIPanels/CM2.png,OTHER_IMAGE_OWNER_REVIEW,04580ace18fd3f6429462e56db4fb3eb,GAMECONFIG_MENU_UI,"[""Assets/NTSD/Config/GameConfig/GameConfig.asset""]",[],,Preserve GameConfig and Menu UI references; outside bulk character-image retirement,false
Assets/NTSD/Sprite/UIPanels/CM3.png,OTHER_IMAGE_OWNER_REVIEW,4a0a0c26e3917614c8f90f044e9d607e,GAMECONFIG_MENU_UI,"[""Assets/NTSD/Config/GameConfig/GameConfig.asset""]",[],,Preserve GameConfig and Menu UI references; outside bulk character-image retirement,false
Assets/NTSD/Sprite/UIPanels/CM4.png,OTHER_IMAGE_OWNER_REVIEW,a26a34b702058274ba4c0329a370ae47,GAMECONFIG_MENU_UI,"[""Assets/NTSD/Config/GameConfig/GameConfig.asset""]",[],,Preserve GameConfig and Menu UI references; outside bulk character-image retirement,false
Assets/NTSD/Sprite/UIPanels/CM5.png,OTHER_IMAGE_OWNER_REVIEW,188dafa6c20928146b68e329d88e3320,GAMECONFIG_MENU_UI,"[""Assets/NTSD/Config/GameConfig/GameConfig.asset""]",[],,Preserve GameConfig and Menu UI references; outside bulk character-image retirement,false
Assets/NTSD/Sprite/UIPanels/CMA.png,OTHER_IMAGE_OWNER_REVIEW,ff4153710d4407841b05383b6249b016,GAMECONFIG_MENU_UI,"[""Assets/NTSD/Config/GameConfig/GameConfig.asset"", ""Assets/NTSD/Scene/NTSD_Menu.unity""]",[],,Preserve GameConfig and Menu UI references; outside bulk character-image retirement,false
Assets/NTSD/Sprite/UIPanels/CMA2.png,OTHER_IMAGE_OWNER_REVIEW,34379c25a465836419338c80151ebc54,GAMECONFIG_MENU_UI,"[""Assets/NTSD/Config/GameConfig/GameConfig.asset""]",[],,Preserve GameConfig and Menu UI references; outside bulk character-image retirement,false
Assets/NTSD/Sprite/UIPanels/CMC.bmp,OTHER_IMAGE_OWNER_REVIEW,e1ccb754dd28c724c94c7b5d83cb884c,MENU_UI,"[""Assets/NTSD/Scene/NTSD_Menu.unity""]",[],,Preserve Menu Scene serialized UI reference,false
Assets/NTSD/Sprite/UIPanels/Combo_Arraw.png,OTHER_IMAGE_OWNER_REVIEW,049ee2be307496b4fafce0b6fbdba688,BATTLE_HUD_UI,"[""Assets/NTSD/Scene/NTSD_Battle.unity""]",[],,Preserve Battle Scene HUD/UI serialized reference,false
Assets/NTSD/Sprite/UIPanels/CS6.png,OTHER_IMAGE_OWNER_REVIEW,db4a1a85e6a2ff248a78e3a5b18d624a,MENU_UI,"[""Assets/NTSD/Scene/NTSD_Menu.unity""]",[],,Preserve Menu Scene serialized UI reference,false
Assets/NTSD/Sprite/UIPanels/FRAME.png,OTHER_IMAGE_OWNER_REVIEW,a2d5a298911be5f46835dab8c0232a26,BATTLE_HUD_UI,"[""Assets/NTSD/Scene/NTSD_Battle.unity""]",[],,Preserve Battle Scene HUD/UI serialized reference,false
Assets/NTSD/Sprite/UIPanels/FRAME3.png,OTHER_IMAGE_OWNER_REVIEW,9f4904aadb4543a4c87ba46d18633791,BATTLE_HUD_UI,"[""Assets/NTSD/Scene/NTSD_Battle.unity""]",[],,Preserve Battle Scene HUD/UI serialized reference,false
Assets/NTSD/Sprite/UIPanels/health_green.png,OTHER_IMAGE_OWNER_REVIEW,a3fd519f974f280429ffd02c7abb8214,BATTLE_HUD_UI,"[""Assets/NTSD/Scene/NTSD_Battle.unity""]",[],,Preserve Battle Scene HUD/UI serialized reference,false
Assets/NTSD/Sprite/UIPanels/health_red.png,OTHER_IMAGE_OWNER_REVIEW,9afe1fe4e773412488f46fedbf47568d,BATTLE_HUD_UI,"[""Assets/NTSD/Scene/NTSD_Battle.unity""]",[],,Preserve Battle Scene HUD/UI serialized reference,false
Assets/NTSD/Sprite/UIPanels/HP-Xu.png,OTHER_IMAGE_OWNER_REVIEW,8169844346b6b2040aa9b40db4de6101,BATTLE_HUD_UI,"[""Assets/NTSD/Scene/NTSD_Battle.unity""]",[],,Preserve Battle Scene HUD/UI serialized reference,false
Assets/NTSD/Sprite/UIPanels/HP.png,OTHER_IMAGE_OWNER_REVIEW,8b94b34686af0b844a865593d7dbcd87,BATTLE_HUD_UI,"[""Assets/NTSD/Scene/NTSD_Battle.unity""]",[],,Preserve Battle Scene HUD/UI serialized reference,false
Assets/NTSD/Sprite/UIPanels/HP_bg.png,OTHER_IMAGE_OWNER_REVIEW,a0ace5a8564f3c94ea0291d47f4d2850,BATTLE_HUD_UI,"[""Assets/NTSD/Scene/NTSD_Battle.unity""]",[],,Preserve Battle Scene HUD/UI serialized reference,false
Assets/NTSD/Sprite/UIPanels/HP_shi.png,OTHER_IMAGE_OWNER_REVIEW,b8c86b693fb31104e8e8b67029dd017b,BATTLE_HUD_UI,"[""Assets/NTSD/Scene/NTSD_Battle.unity""]",[],,Preserve Battle Scene HUD/UI serialized reference,false
Assets/NTSD/Sprite/UIPanels/HP_xu.png,OTHER_IMAGE_OWNER_REVIEW,c04ab4c1897f22341adf5a03e3b2f6c8,BATTLE_HUD_UI,"[""Assets/NTSD/Scene/NTSD_Battle.unity""]",[],,Preserve Battle Scene HUD/UI serialized reference,false
Assets/NTSD/Sprite/UIPanels/loading.png,OTHER_IMAGE_OWNER_REVIEW,9b74bb584773327409b6d2342bd660e2,MENU_UI,"[""Assets/NTSD/Scene/NTSD_Menu.unity""]",[],,Preserve Menu Scene serialized UI reference,false
Assets/NTSD/Sprite/UIPanels/MENU_CLIP2.png,OTHER_IMAGE_OWNER_REVIEW,afbd0bb2618b1f04e8434c679cd477a5,MENU_UI,"[""Assets/NTSD/Scene/NTSD_Menu.unity""]",[],,Preserve Menu Scene serialized UI reference,false
Assets/NTSD/Sprite/UIPanels/mode_select.png,OTHER_IMAGE_OWNER_REVIEW,0b70858fcef33844c9bb440417ce393e,MENU_UI,"[""Assets/NTSD/Scene/NTSD_Menu.unity""]",[],,Preserve Menu Scene serialized UI reference,false
Assets/NTSD/Sprite/UIPanels/MP.png,OTHER_IMAGE_OWNER_REVIEW,a73cbf7ec97b5c34b9e6ff7b51fec7c1,BATTLE_HUD_UI,"[""Assets/NTSD/Scene/NTSD_Battle.unity""]",[],,Preserve Battle Scene HUD/UI serialized reference,false
Assets/NTSD/Sprite/UIPanels/mp_blue.png,OTHER_IMAGE_OWNER_REVIEW,42b1529df1151f14ba284fed5cf478c8,BATTLE_HUD_UI,"[""Assets/NTSD/Scene/NTSD_Battle.unity""]",[],,Preserve Battle Scene HUD/UI serialized reference,false
Assets/NTSD/Sprite/UIPanels/NTSD_MP_Back_Simple_671x5.png,OTHER_IMAGE_OWNER_REVIEW,b5d28d8640e14cf4cb7ccf282cc614f3,BATTLE_HUD_UI,"[""Assets/NTSD/Scene/NTSD_Battle.unity""]",[],,Preserve Battle Scene HUD/UI serialized reference,false
Assets/NTSD/Sprite/UIPanels/NTSD_MP_Fill_Simple_671x5.png,OTHER_IMAGE_OWNER_REVIEW,1eb3808a9ad549046ba7bcade27ccf97,BATTLE_HUD_UI,"[""Assets/NTSD/Scene/NTSD_Battle.unity""]",[],,Preserve Battle Scene HUD/UI serialized reference,false
Assets/NTSD/Sprite/UIPanels/NTSD_MP_Frame_Simple_674x11.png,OTHER_IMAGE_OWNER_REVIEW,c2191b30879321a4cb8d3f8aed88bb95,BATTLE_HUD_UI,"[""Assets/NTSD/Scene/NTSD_Battle.unity""]",[],,Preserve Battle Scene HUD/UI serialized reference,false
Assets/NTSD/Sprite/UIPanels/NTSD_Title.png,OTHER_IMAGE_OWNER_REVIEW,dec0c1724ed50cd4c81e0202d9bf20da,MENU_UI,"[""Assets/NTSD/Scene/NTSD_Menu.unity""]",[],,Preserve Menu Scene serialized UI reference,false
Assets/NTSD/Sprite/UIPanels/Random.png,OTHER_IMAGE_OWNER_REVIEW,4d48d81e81179994c8ccf7daa5a7c546,GAMECONFIG_MENU_UI,"[""Assets/NTSD/Config/GameConfig/GameConfig.asset""]",[],,Preserve GameConfig and Menu UI references; outside bulk character-image retirement,false
Assets/NTSD/Sprite/UIPanels/Red_Box.png,OTHER_IMAGE_OWNER_REVIEW,fb48a0bdba5d23f4e8d48f9ca2390ece,MENU_UI,"[""Assets/NTSD/Scene/NTSD_Menu.unity""]",[],,Preserve Menu Scene serialized UI reference,false
Assets/NTSD/Sprite/UIPanels/select_bg.png,OTHER_IMAGE_OWNER_REVIEW,f8c6f08f282684146ac3537911debec3,MENU_UI,"[""Assets/NTSD/Scene/NTSD_Menu.unity""]",[],,Preserve Menu Scene serialized UI reference,false
Assets/NTSD/Sprite/UIPanels/selectmode_bg.png,OTHER_IMAGE_OWNER_REVIEW,9390d33f90031f0498aa03a907530627,MENU_UI,"[""Assets/NTSD/Scene/NTSD_Menu.unity""]",[],,Preserve Menu Scene serialized UI reference,false
Assets/NTSD/Sprite/UIPanels/white_box.png,OTHER_IMAGE_OWNER_REVIEW,912b40d9d1d0b594f957dd5581d7c066,MENU_UI,"[""Assets/NTSD/Scene/NTSD_Menu.unity""]",[],,Preserve Menu Scene serialized UI reference,false
Assets/NTSD/Sprite/UIPanels/white_box2.png,OTHER_IMAGE_OWNER_REVIEW,1d0e63ef5f80a7e4288c3d5b2136fab7,MENU_UI,"[""Assets/NTSD/Scene/NTSD_Menu.unity""]",[],,Preserve Menu Scene serialized UI reference,false
Assets/NTSD/Sprite/XueYuan/s.png,OTHER_IMAGE_OWNER_REVIEW,04bffa57fa05fe44e8b259e1ba07141a,COMMON_SHADOW_PREFAB,"[""Assets/NTSD/Prefabs/Common/Shadow.prefab""]",[],,Preserve common Shadow prefab; Q09 presentation review,false
