id	float_bits	strict_int	first_int	strict_valid
131	44F00000	1920	1920	1
132	43410000	193	193	1
133	43420000	194	194	1
134	43430000	195	195	1
135	43450000	197	197	1
136	43470000	199	199	1
137	44F9E000	1999	1999	1
138	40000000	2	2	1
139	40000000	0	2	0
140	40133333	0	2	0
141	40200000	0	2	0
142	41A00000	20	20	1
143	41A00000	0	20	0
144	43480000	200	200	1
145	44FA0000	2000	2000	1
146	434D0000	205	205	1
147	434E0000	206	206	1
148	43510000	209	209	1
149	41A80000	21	21	1
150	43520000	210	210	1
151	43540000	212	212	1
152	43550000	213	213	1
153	43570000	215	215	1
154	435B0000	219	219	1
155	435C0000	220	220	1
156	435D0000	221	221	1
157	435E0000	222	222	1
158	435F0000	223	223	1
159	43600000	224	224	1
160	43630000	227	227	1
161	43650000	229	229	1
162	41B80000	23	23	1
163	41B80000	0	23	0
164	43660000	230	230	1
165	43670000	231	231	1
166	43680000	232	232	1
167	436B0000	235	235	1
168	436D0000	237	237	1
169	436F0000	239	239	1
170	41C00000	0	24	0
171	41C00000	0	24	0
172	43700000	240	240	1
173	43710000	241	241	1
174	43750000	245	245	1
175	43780000	248	248	1
176	43790000	249	249	1
177	41C80000	25	25	1
178	41C80000	0	25	0
179	437A0000	250	250	1
180	437C0000	252	252	1
181	437F0000	255	255	1
182	43800000	256	256	1
183	41D00000	0	26	0
184	43820000	260	260	1
185	43838000	263	263	1
186	43848000	265	265	1
187	43868000	269	269	1
188	41D80000	27	27	1
189	43880000	272	272	1
190	43898000	275	275	1
191	438B8000	279	279	1
192	41E00000	28	28	1
193	438C0000	280	280	1
194	438F0000	286	286	1
195	43900000	288	288	1
196	43908000	289	289	1
197	41E80000	29	29	1
198	43910000	290	290	1
199	43918000	291	291	1
200	43928000	293	293	1
201	43958000	299	299	1
202	40400000	3	3	1
203	40400000	0	3	0
204	40533333	0	3	0
205	406CCCCD	0	3	0
206	40700000	0	3	0
207	41F00000	30	30	1
208	41F00000	0	30	0
209	41F00000	0	30	0
210	453B8000	3000	3000	1
211	43968000	301	301	1
212	43990000	306	306	1
213	439A0000	308	308	1
214	439B0000	310	310	1
215	439B8000	311	311	1
216	439C0000	312	312	1
217	439C8000	313	313	1
218	439D0000	314	314	1
219	439E0000	316	316	1
220	439E8000	317	317	1
221	439F0000	318	318	1
222	439F8000	319	319	1
223	42000000	32	32	1
224	43A00000	320	320	1
225	43A10000	322	322	1
226	43A40000	328	328	1
227	43A98000	339	339	1
228	42080000	34	34	1
229	43AB8000	343	343	1
230	43AC8000	345	345	1
231	43AD0000	346	346	1
232	420C0000	35	35	1
233	43AF0000	350	350	1
234	43AF8000	351	351	1
235	43B30000	358	358	1
236	42100000	36	36	1
237	43B40000	360	360	1
238	43B48000	361	361	1
239	43B60000	364	364	1
240	43B88000	369	369	1
241	42140000	37	37	1
242	43BA0000	372	372	1
243	42180000	38	38	1
244	43C00000	384	384	1
245	43C08000	385	385	1
246	43C10000	386	386	1
247	43C38000	391	391	1
248	43C58000	395	395	1
249	43C78000	399	399	1
250	40800000	4	4	1
251	40800000	0	4	0
252	4089999A	0	4	0
253	42200000	40	40	1
254	43C80000	400	400	1
255	457A0000	4000	4000	1
256	43C88000	401	401	1
257	43CA0000	404	404	1
258	43CB8000	407	407	1
259	43CD0000	410	410	1
260	43CF0000	414	414	1
261	43D18000	419	419	1
262	43D20000	420	420	1
263	43D48000	425	425	1
264	43D60000	428	428	1
265	43DB8000	439	439	1
266	42300000	44	44	1
267	43DC0000	440	440	1
268	43E00000	448	448	1
269	42340000	0	45	0
270	43E10000	450	450	1
271	43E28000	453	453	1
272	43E50000	458	458	1
273	43E60000	460	460	1
274	43EA8000	469	469	1
275	423C0000	47	47	1
276	43EF0000	478	478	1
277	43EF8000	479	479	1
278	42400000	48	48	1
279	42440000	49	49	1
280	40A00000	5	5	1
281	40A00000	0	5	0
282	42480000	50	50	1
283	43FA0000	500	500	1
284	424C0000	51	51	1
285	43FF0000	510	510	1
286	44010000	516	516	1
287	44038000	526	526	1
288	44058000	534	534	1
289	44094000	549	549	1
290	425C0000	55	55	1
291	44098000	550	550	1
292	440A4000	553	553	1
293	42600000	56	56	1
294	440C0000	560	560	1
295	440C4000	561	561	1
296	440CC000	563	563	1
297	440DC000	567	567	1
298	440E4000	569	569	1
299	42680000	58	58	1
300	426C0000	59	59	1
301	40C00000	6	6	1
302	40C00000	0	6	0
303	42700000	60	60	1
304	44160000	600	600	1
305	44170000	604	604	1
306	441D4000	629	629	1
307	427C0000	63	63	1
308	441FC000	639	639	1
309	42820000	65	65	1
310	44230000	652	652	1
311	4429C000	679	679	1
312	442A0000	680	680	1
313	442C4000	689	689	1
314	428A0000	69	69	1
315	442EC000	699	699	1
316	40E00000	7	7	1
317	428C0000	70	70	1
318	442F0000	700	700	1
319	44310000	708	708	1
320	4433C000	719	719	1
321	42900000	72	72	1
322	44344000	721	721	1
323	44354000	725	725	1
324	4436C000	731	731	1
325	42960000	75	75	1
326	443D0000	756	756	1
327	42980000	76	76	1
328	443F0000	764	764	1
329	4440C000	771	771	1
330	429C0000	78	78	1
331	429E0000	79	79	1
332	44474000	797	797	1
333	4447C000	799	799	1
334	41000000	8	8	1
335	41000000	0	8	0
336	42A00000	80	80	1
337	44480000	800	800	1
338	444A0000	808	808	1
339	42A20000	81	81	1
340	42A40000	82	82	1
341	42A80000	84	84	1
342	42AA0000	85	85	1
343	42AC0000	86	86	1
344	44590000	868	868	1
345	42B00000	88	88	1
346	445C0000	880	880	1
347	42B20000	89	89	1
348	41100000	9	9	1
349	42B40000	90	90	1
350	42B60000	91	91	1
351	42B80000	92	92	1
352	4467C000	927	927	1
353	42BA0000	93	93	1
354	42BC0000	94	94	1
355	42BE0000	95	95	1
356	446D8000	950	950	1
357	42C00000	96	96	1
358	42C20000	97	97	1
359	42C60000	99	99	1
360	00000000	0	0	0
361	00000000	0	0	0
362	00000000	0	0	0
363	00000000	0	0	0
364	00000000	0	0	0
365	00000000	0	0	0
366	00000000	0	0	0
367	00000000	0	0	0
368	00000000	0	0	0
369	00000000	0	0	0
370	00000000	0	0	0
371	00000000	0	0	0
372	00000000	0	0	0
373	00000000	0	0	0
374	00000000	0	0	0
375	00000000	0	0	0
376	00000000	0	0	0
377	00000000	0	0	0
378	00000000	0	0	0
379	00000000	0	0	0
380	00000000	0	0	0
381	00000000	0	0	0
382	00000000	0	0	0
383	00000000	0	0	0
384	00000000	0	0	0
385	00000000	0	0	0
386	00000000	0	0	0
387	00000000	0	0	0
388	00000000	0	0	0
389	00000000	0	0	0
390	00000000	0	0	0
391	00000000	0	0	0
392	00000000	0	0	0
393	00000000	0	0	0
394	00000000	0	0	0
395	00000000	0	0	0
396	00000000	0	0	0
397	00000000	0	0	0
398	00000000	0	0	0
399	00000000	0	0	0
400	00000000	0	0	0
401	00000000	0	0	0
402	00000000	0	0	0
403	00000000	0	0	0
404	00000000	0	0	0
405	00000000	0	0	0
406	00000000	0	0	0
407	00000000	0	0	0
408	00000000	0	0	0
409	00000000	0	0	0
410	00000000	0	0	0
411	00000000	0	0	0
412	00000000	0	0	0
413	00000000	0	0	0
414	00000000	0	0	0
415	00000000	0	0	0
416	00000000	0	0	0
417	00000000	0	0	0
418	00000000	0	0	0
419	00000000	0	0	0
420	00000000	0	0	0
421	00000000	0	0	0
422	00000000	0	0	0
423	00000000	0	0	0
424	00000000	0	0	0
425	00000000	0	0	0
426	00000000	0	0	0
427	00000000	0	0	0
428	00000000	0	0	0
429	00000000	0	0	0
430	00000000	0	0	0
431	00000000	0	0	0
432	00000000	0	0	0
433	00000000	0	0	0
434	00000000	0	0	0
435	00000000	0	0	0
436	00000000	0	0	0
437	00000000	0	0	0
438	00000000	0	0	0
439	00000000	0	0	0
440	00000000	0	0	0
441	00000000	0	0	0
442	00000000	0	0	0
443	00000000	0	0	0
444	00000000	0	0	0
445	00000000	0	0	0
446	00000000	0	0	0
447	00000000	0	0	0
448	00000000	0	0	0
449	00000000	0	0	0
450	00000000	0	0	0
451	00000000	0	0	0
452	00000000	0	0	0
453	00000000	0	0	0
454	00000000	0	0	0
455	00000000	0	0	0
456	00000000	0	0	0
457	00000000	0	0	0
458	00000000	0	0	0
459	00000000	0	0	0
460	00000000	0	0	0
461	00000000	0	0	0
462	00000000	0	0	0
463	00000000	0	0	0
464	00000000	0	0	0
465	00000000	0	0	0
466	00000000	0	0	0
467	00000000	0	0	0
468	00000000	0	0	0
469	00000000	0	0	0
470	00000000	0	0	0
471	00000000	0	0	0
472	00000000	0	0	0
473	00000000	0	0	0
474	00000000	0	0	0
475	00000000	0	0	0
476	00000000	0	0	0
477	00000000	0	0	0
478	00000000	0	0	0
479	00000000	0	0	0
480	00000000	0	0	0
481	00000000	0	0	0
482	00000000	0	0	0
483	00000000	0	0	0
484	00000000	0	0	0
485	00000000	0	0	0
486	00000000	0	0	0
487	00000000	0	0	0
488	00000000	0	0	0
489	00000000	0	0	0
490	00000000	0	0	0
491	00000000	0	0	0
492	00000000	0	0	0
493	00000000	0	0	0
494	00000000	0	0	0
495	00000000	0	0	0
496	00000000	0	0	0
497	00000000	0	0	0
498	00000000	0	0	0
499	00000000	0	0	0
500	00000000	0	0	0
501	00000000	0	0	0
502	00000000	0	0	0
503	00000000	0	0	0
504	00000000	0	0	0
505	00000000	0	0	0
506	00000000	0	0	0
507	00000000	0	0	0
508	00000000	0	0	0
509	00000000	0	0	0
510	00000000	0	0	0
511	00000000	0	0	0
512	00000000	0	0	0
513	00000000	0	0	0
514	00000000	0	0	0
515	00000000	0	0	0
516	00000000	0	0	0
517	00000000	0	0	0
518	00000000	0	0	0
519	00000000	0	0	0
520	00000000	0	0	0
521	00000000	0	0	0
522	00000000	0	0	0
523	00000000	0	0	0
524	00000000	0	0	0
525	00000000	0	0	0
526	00000000	0	0	0
527	00000000	0	0	0
528	00000000	0	0	0
529	00000000	0	0	0
530	00000000	0	0	0
531	00000000	0	0	0
532	00000000	0	0	0
533	00000000	0	0	0
534	00000000	0	0	0
535	00000000	0	0	0
536	00000000	0	0	0
537	00000000	0	0	0
538	00000000	0	0	0
539	00000000	0	0	0
540	00000000	0	0	0
541	00000000	0	0	0
542	00000000	0	0	0
543	00000000	0	0	0
544	00000000	0	0	0
545	00000000	0	0	0
546	00000000	0	0	0
547	00000000	0	0	0
548	00000000	0	0	0
549	00000000	0	0	0
550	00000000	0	0	0
551	00000000	0	0	0
552	00000000	0	0	0
553	00000000	0	0	0
554	00000000	0	0	0
555	00000000	0	0	0
556	00000000	0	0	0
557	00000000	0	0	0
558	00000000	0	0	0
559	00000000	0	0	0
560	00000000	0	0	0
561	00000000	0	0	0
562	00000000	0	0	0
563	00000000	0	0	0
564	00000000	0	0	0
565	00000000	0	0	0
566	00000000	0	0	0
567	00000000	0	0	0
568	00000000	0	0	0
569	00000000	0	0	0
570	00000000	0	0	0
571	00000000	0	0	0
572	00000000	0	0	0
573	00000000	0	0	0
574	00000000	0	0	0
575	00000000	0	0	0
576	00000000	0	0	0
577	00000000	0	0	0
578	00000000	0	0	0
579	00000000	0	0	0
580	00000000	0	0	0
581	00000000	0	0	0
582	00000000	0	0	0
583	00000000	0	0	0
584	00000000	0	0	0
585	00000000	0	0	0
586	00000000	0	0	0
587	00000000	0	0	0
588	00000000	0	0	0
589	00000000	0	0	0
590	00000000	0	0	0
591	00000000	0	0	0
592	00000000	0	0	0
593	00000000	0	0	0
594	00000000	0	0	0
595	00000000	0	0	0
596	00000000	0	0	0
597	00000000	0	0	0
598	00000000	0	0	0
599	00000000	0	0	0
600	00000000	0	0	0
601	00000000	0	0	0
602	00000000	0	0	0
603	00000000	0	0	0
604	00000000	0	0	0
605	00000000	0	0	0
606	00000000	0	0	0
607	00000000	0	0	0
608	00000000	0	0	0
609	00000000	0	0	0
610	00000000	0	0	0
611	00000000	0	0	0
612	00000000	0	0	0
613	00000000	0	0	0
614	00000000	0	0	0
615	00000000	0	0	0
616	00000000	0	0	0
617	00000000	0	0	0
618	00000000	0	0	0
619	00000000	0	0	0
620	00000000	0	0	0
621	00000000	0	0	0
622	00000000	0	0	0
623	00000000	0	0	0
624	00000000	0	0	0
625	00000000	0	0	0
626	00000000	0	0	0
627	00000000	0	0	0
628	00000000	0	0	0
629	00000000	0	0	0
630	00000000	0	0	0
631	00000000	0	0	0
632	00000000	0	0	0
633	00000000	0	0	0
634	00000000	0	0	0
635	00000000	0	0	0
636	00000000	0	0	0
637	00000000	0	0	0
638	00000000	0	0	0
639	00000000	0	0	0
640	00000000	0	0	0
641	00000000	0	0	0
642	00000000	0	0	0
643	00000000	0	0	0
644	00000000	0	0	0
645	00000000	0	0	0
646	00000000	0	0	0
647	00000000	0	0	0
648	00000000	0	0	0
649	00000000	0	0	0
650	00000000	0	0	0
651	00000000	0	0	0
652	00000000	0	0	0
653	00000000	0	0	0
654	00000000	0	0	0
655	00000000	0	0	0
656	00000000	0	0	0
657	00000000	0	0	0
658	00000000	0	0	0
659	00000000	0	0	0
660	00000000	0	0	0
661	00000000	0	0	0
662	00000000	0	0	0
663	00000000	0	0	0
664	00000000	0	0	0
665	00000000	0	0	0
666	00000000	0	0	0
667	00000000	0	0	0
668	00000000	0	0	0
669	00000000	0	0	0
670	00000000	0	0	0
671	00000000	0	0	0
672	00000000	0	0	0
673	00000000	0	0	0
674	00000000	0	0	0
675	00000000	0	0	0
676	00000000	0	0	0
677	00000000	0	0	0
678	00000000	0	0	0
679	00000000	0	0	0
680	00000000	0	0	0
681	00000000	0	0	0
682	00000000	0	0	0
683	00000000	0	0	0
684	00000000	0	0	0
685	00000000	0	0	0
686	00000000	0	0	0
687	00000000	0	0	0
688	00000000	0	0	0
689	00000000	0	0	0
690	00000000	0	0	0
691	00000000	0	0	0
692	00000000	0	0	0
693	00000000	0	0	0
694	00000000	0	0	0
695	00000000	0	0	0
696	00000000	0	0	0
697	00000000	0	0	0
698	00000000	0	0	0
699	00000000	0	0	0
700	00000000	0	0	0
701	00000000	0	0	0
702	00000000	0	0	0
703	00000000	0	0	0
704	00000000	0	0	0
705	00000000	0	0	0
706	00000000	0	0	0
707	00000000	0	0	0
708	00000000	0	0	0
709	00000000	0	0	0
710	00000000	0	0	0
711	00000000	0	0	0
712	00000000	0	0	0
713	00000000	0	0	0
714	00000000	0	0	0
715	00000000	0	0	0
716	00000000	0	0	0
717	00000000	0	0	0
718	00000000	0	0	0
719	00000000	0	0	0
720	00000000	0	0	0
721	00000000	0	0	0
722	00000000	0	0	0
723	00000000	0	0	0
724	00000000	0	0	0
725	00000000	0	0	0
726	00000000	0	0	0
727	00000000	0	0	0
728	00000000	0	0	0
729	00000000	0	0	0
730	00000000	0	0	0
731	00000000	0	0	0
732	00000000	0	0	0
733	00000000	0	0	0
734	00000000	0	0	0
735	00000000	0	0	0
736	00000000	0	0	0
737	00000000	0	0	0
738	00000000	0	0	0
739	00000000	0	0	0
740	00000000	0	0	0
741	00000000	0	0	0
742	00000000	0	0	0
743	00000000	0	0	0
744	00000000	0	0	0
745	00000000	0	0	0
746	00000000	0	0	0
747	00000000	0	0	0
748	00000000	0	0	0
749	00000000	0	0	0
750	00000000	0	0	0
751	00000000	0	0	0
752	00000000	0	0	0
753	00000000	0	0	0
754	00000000	0	0	0
755	00000000	0	0	0
756	00000000	0	0	0
757	00000000	0	0	0
758	00000000	0	0	0
759	00000000	0	0	0
760	00000000	0	0	0
761	00000000	0	0	0
762	00000000	0	0	0
763	00000000	0	0	0
764	00000000	0	0	0
765	00000000	0	0	0
766	00000000	0	0	0
767	00000000	0	0	0
768	00000000	0	0	0
769	00000000	0	0	0
770	00000000	0	0	0
771	00000000	0	0	0
772	00000000	0	0	0
773	00000000	0	0	0
774	00000000	0	0	0
775	00000000	0	0	0
776	00000000	0	0	0
777	00000000	0	0	0
778	00000000	0	0	0
779	00000000	0	0	0
780	00000000	0	0	0
781	00000000	0	0	0
782	00000000	0	0	0
783	00000000	0	0	0
784	00000000	0	0	0
785	00000000	0	0	0
786	00000000	0	0	0
787	00000000	0	0	0
788	00000000	0	0	0
789	00000000	0	0	0
790	00000000	0	0	0
791	00000000	0	0	0
792	00000000	0	0	0
793	00000000	0	0	0
794	00000000	0	0	0
795	00000000	0	0	0
796	00000000	0	0	0
797	00000000	0	0	0
798	00000000	0	0	0
799	00000000	0	0	0
800	00000000	0	0	0
801	00000000	0	0	0
802	00000000	0	0	0
803	00000000	0	0	0
804	00000000	0	0	0
805	00000000	0	0	0
806	00000000	0	0	0
807	00000000	0	0	0
808	00000000	0	0	0
809	00000000	0	0	0
810	00000000	0	0	0
811	00000000	0	0	0
812	00000000	0	0	0
813	00000000	0	0	0
814	00000000	0	0	0
815	00000000	0	0	0
816	00000000	0	0	0
817	00000000	0	0	0
818	00000000	0	0	0
819	00000000	0	0	0
820	00000000	0	0	0
821	00000000	0	0	0
822	00000000	0	0	0
823	00000000	0	0	0
824	00000000	0	0	0
825	00000000	0	0	0
826	00000000	0	0	0
827	00000000	0	0	0
828	00000000	0	0	0
829	00000000	0	0	0
830	00000000	0	0	0
831	00000000	0	0	0
832	00000000	0	0	0
833	00000000	0	0	0
834	00000000	0	0	0
835	00000000	0	0	0
836	00000000	0	0	0
837	00000000	0	0	0
838	00000000	0	0	0
839	00000000	0	0	0
840	00000000	0	0	0
841	00000000	0	0	0
842	00000000	0	0	0
843	00000000	0	0	0
844	00000000	0	0	0
845	00000000	0	0	0
846	00000000	0	0	0
847	00000000	0	0	0
848	00000000	0	0	0
849	00000000	0	0	0
850	00000000	0	0	0
851	00000000	0	0	0
852	00000000	0	0	0
853	00000000	0	0	0
854	00000000	0	0	0
855	00000000	0	0	0
856	00000000	0	0	0
857	00000000	0	0	0
858	00000000	0	0	0
859	00000000	0	0	0
860	00000000	0	0	0
861	00000000	0	0	0
862	00000000	0	0	0
863	00000000	0	0	0
864	00000000	0	0	0
865	00000000	0	0	0
866	00000000	0	0	0
867	00000000	0	0	0
868	00000000	0	0	0
869	00000000	0	0	0
870	00000000	0	0	0
871	00000000	0	0	0
872	00000000	0	0	0
873	00000000	0	0	0
874	00000000	0	0	0
875	00000000	0	0	0
876	00000000	0	0	0
877	00000000	0	0	0
878	00000000	0	0	0
879	00000000	0	0	0
880	00000000	0	0	0
881	00000000	0	0	0
882	00000000	0	0	0
883	00000000	0	0	0
884	00000000	0	0	0
885	00000000	0	0	0
886	00000000	0	0	0
887	00000000	0	0	0
888	00000000	0	0	0
889	00000000	0	0	0
890	00000000	0	0	0
891	00000000	0	0	0
892	00000000	0	0	0
893	00000000	0	0	0
894	00000000	0	0	0
895	00000000	0	0	0
896	00000000	0	0	0
897	00000000	0	0	0
898	00000000	0	0	0
899	00000000	0	0	0
900	00000000	0	0	0
901	00000000	0	0	0
902	00000000	0	0	0
903	00000000	0	0	0
904	00000000	0	0	0
905	00000000	0	0	0
906	00000000	0	0	0
907	00000000	0	0	0
908	00000000	0	0	0
909	00000000	0	0	0
910	00000000	0	0	0
911	00000000	0	0	0
912	00000000	0	0	0
913	00000000	0	0	0
914	00000000	0	0	0
915	00000000	0	0	0
916	00000000	0	0	0
917	00000000	0	0	0
918	00000000	0	0	0
919	00000000	0	0	0
920	00000000	0	0	0
921	00000000	0	0	0
922	00000000	0	0	0
923	00000000	0	0	0
924	00000000	0	0	0
925	00000000	0	0	0
926	00000000	0	0	0
927	00000000	0	0	0
928	00000000	0	0	0
929	00000000	0	0	0
930	00000000	0	0	0
931	00000000	0	0	0
932	00000000	0	0	0
933	00000000	0	0	0
934	00000000	0	0	0
935	00000000	0	0	0
936	00000000	0	0	0
937	00000000	0	0	0
938	00000000	0	0	0
939	00000000	0	0	0
940	00000000	0	0	0
941	00000000	0	0	0
942	00000000	0	0	0
943	00000000	0	0	0
944	00000000	0	0	0
945	00000000	0	0	0
946	00000000	0	0	0
947	00000000	0	0	0
948	00000000	0	0	0
949	00000000	0	0	0
950	00000000	0	0	0
951	00000000	0	0	0
952	00000000	0	0	0
953	00000000	0	0	0
954	00000000	0	0	0
955	00000000	0	0	0
956	00000000	0	0	0
957	00000000	0	0	0
958	00000000	0	0	0
959	00000000	0	0	0
960	00000000	0	0	0
961	00000000	0	0	0
962	00000000	0	0	0
963	00000000	0	0	0
964	00000000	0	0	0
965	00000000	0	0	0
966	00000000	0	0	0
967	00000000	0	0	0
968	00000000	0	0	0
969	00000000	0	0	0
970	00000000	0	0	0
971	00000000	0	0	0
972	00000000	0	0	0
973	00000000	0	0	0
974	00000000	0	0	0
975	00000000	0	0	0
976	00000000	0	0	0
977	00000000	0	0	0
978	00000000	0	0	0
979	00000000	0	0	0
980	00000000	0	0	0
981	00000000	0	0	0
982	00000000	0	0	0
983	00000000	0	0	0
984	00000000	0	0	0
985	00000000	0	0	0
986	00000000	0	0	0
987	00000000	0	0	0
988	00000000	0	0	0
989	00000000	0	0	0
990	00000000	0	0	0
991	00000000	0	0	0
992	00000000	0	0	0
993	00000000	0	0	0
994	00000000	0	0	0
995	00000000	0	0	0
996	00000000	0	0	0
997	00000000	0	0	0
998	00000000	0	0	0
999	00000000	0	0	0
1000	00000000	0	0	0
1001	00000000	0	0	0
1002	00000000	0	0	0
1003	00000000	0	0	0
1004	00000000	0	0	0
1005	00000000	0	0	0
1006	00000000	0	0	0
1007	00000000	0	0	0
1008	00000000	0	0	0
1009	00000000	0	0	0
1010	00000000	0	0	0
1011	00000000	0	0	0
1012	00000000	0	0	0
1013	00000000	0	0	0
1014	00000000	0	0	0
1015	00000000	0	0	0
1016	00000000	0	0	0
1017	00000000	0	0	0
1018	00000000	0	0	0
1019	00000000	0	0	0
1020	00000000	0	0	0
1021	00000000	0	0	0
1022	00000000	0	0	0
1023	00000000	0	0	0
1024	00000000	0	0	0
1025	00000000	0	0	0
1026	00000000	0	0	0
1027	00000000	0	0	0
1028	00000000	0	0	0
1029	00000000	0	0	0
1030	00000000	0	0	0
1031	00000000	0	0	0
1032	00000000	0	0	0
1033	00000000	0	0	0
1034	00000000	0	0	0
1035	00000000	0	0	0
1036	00000000	0	0	0
1037	00000000	0	0	0
1038	00000000	0	0	0
1039	00000000	0	0	0
1040	00000000	0	0	0
1041	00000000	0	0	0
1042	00000000	0	0	0
1043	00000000	0	0	0
1044	00000000	0	0	0
1045	00000000	0	0	0
1046	00000000	0	0	0
1047	00000000	0	0	0
1048	00000000	0	0	0
1049	00000000	0	0	0
1050	00000000	0	0	0
1051	00000000	0	0	0
1052	00000000	0	0	0
1053	00000000	0	0	0
1054	00000000	0	0	0
1055	00000000	0	0	0
1056	00000000	0	0	0
1057	00000000	0	0	0
1058	00000000	0	0	0
1059	00000000	0	0	0
1060	00000000	0	0	0
1061	00000000	0	0	0
1062	00000000	0	0	0
1063	00000000	0	0	0
1064	00000000	0	0	0
1065	00000000	0	0	0
1066	00000000	0	0	0
1067	00000000	0	0	0
1068	00000000	0	0	0
1069	00000000	0	0	0
1070	00000000	0	0	0
1071	00000000	0	0	0
1072	00000000	0	0	0
1073	00000000	0	0	0
1074	00000000	0	0	0
1075	00000000	0	0	0
1076	00000000	0	0	0
1077	00000000	0	0	0
1078	00000000	0	0	0
1079	00000000	0	0	0
1080	00000000	0	0	0
1081	00000000	0	0	0
1082	00000000	0	0	0
1083	00000000	0	0	0
1084	00000000	0	0	0
1085	00000000	0	0	0
1086	00000000	0	0	0
1087	00000000	0	0	0
1088	00000000	0	0	0
1089	00000000	0	0	0
1090	00000000	0	0	0
1091	00000000	0	0	0
1092	00000000	0	0	0
1093	00000000	0	0	0
1094	00000000	0	0	0
1095	00000000	0	0	0
1096	00000000	0	0	0
1097	00000000	0	0	0
1098	00000000	0	0	0
1099	00000000	0	0	0
1100	00000000	0	0	0
1101	00000000	0	0	0
1102	00000000	0	0	0
1103	00000000	0	0	0
1104	00000000	0	0	0
1105	00000000	0	0	0
1106	00000000	0	0	0
1107	00000000	0	0	0
1108	00000000	0	0	0
1109	00000000	0	0	0
1110	00000000	0	0	0
1111	00000000	0	0	0
1112	00000000	0	0	0
1113	00000000	0	0	0
1114	00000000	0	0	0
1115	00000000	0	0	0
1116	00000000	0	0	0
1117	00000000	0	0	0
1118	00000000	0	0	0
1119	00000000	0	0	0
1120	00000000	0	0	0
1121	00000000	0	0	0
1122	00000000	0	0	0
1123	00000000	0	0	0
