registry_section,registry_index,line_number,id,type,engine_category,display_category,source_path,path_prefix,source_stem,extraction_status,classification_status,name,hidden,random,published_folder,sprite_count,sprite_ref_count,dependency_count,plain_dat_sha256,raw_dat_sha256,plain_cache,raw_cache,planned_folder
object,10,14,31,0,character_object,conditional,m\nin\nin2.dat,m,nin2,verified,classified_from_plain_dat,Striker_Nin,1,1,characters/conditional/0031_Striker_Nin,5,5,2,60afbc7e5498fcd17b2adecef7c5d7dd2a33e6340b82d149385b2aabd930085b,60957762c9b9a31aa152da61096d634dcce55f313b2c52781abded5944da5d94,,,characters/conditional/0031_Striker_Nin
object,11,15,30,0,character_object,conditional,m\nin\nin.dat,m,nin,verified,classified_from_plain_dat,Enemy,1,1,characters/conditional/0030_Enemy,6,6,5,4381cd8e19b82acb1011bacc76691f2e9637472fd255a813dc2c9a95df52e57b,563440f0031b5361b7a7cfa5705ed71acbfd2958c7e134def6866b5a4c280a04,,,characters/conditional/0030_Enemy
object,12,16,500,0,character_object,conditional,m\hug\hug.dat,m,hug,verified,classified_from_plain_dat,Huge_nin,1,1,characters/conditional/0500_Huge_nin,6,6,0,be15c3d7a4e1a4b607f3b77ecaec83c3143c9f1b9d98e83c38f0a0f8d14372d1,82b1124c973aece95274a82bb62d829a31877506d281d95688cdb66559a132ce,,,characters/conditional/0500_Huge_nin
object,13,17,501,0,character_object,conditional,m\hug\hug2.dat,m,hug2,verified,classified_from_plain_dat,Huge_nin2,1,1,characters/conditional/0501_Huge_nin2,6,6,0,e8219d74a3cbacba75936428aee2e97e2d793056b7666aaa8f93893ca371ea3b,c77f18d82d4a4e719c46814ee76e07dc51be3aae8ebe8aa231ee369db7099188,,,characters/conditional/0501_Huge_nin2
object,14,18,502,0,character_object,conditional,m\hug\hug3.dat,m,hug3,verified,classified_from_plain_dat,Huge_nin3,1,1,characters/conditional/0502_Huge_nin3,6,6,0,a49631102c98225d21c4e9b4392f5e22645e7292b20eb23c673e71e583124e43,f281cf961b070e2a85ae1d118cf3636ce5ccd751c65d6d78029c2ef2178aef5b,,,characters/conditional/0502_Huge_nin3
object,15,19,86,0,character_object,conditional,m\teu\teu.dat,m,teu,verified,classified_from_plain_dat,Teuchi,2,2,characters/conditional/0086_Teuchi,4,4,0,4a87f06f38b70dc0ca5b444b43bdb1c1b07af4bcad3938abb36f231961851a65,c28759711b42ed621660a732ae58fb5cac63b22a328f1a13cff202e3d8fd5118,,,characters/conditional/0086_Teuchi
object,16,21,2,0,character_object,selectable,c\nar\nar.dat,c,nar,verified,classified_from_plain_dat,Naruto,0,0,characters/selectable/0002_Naruto,5,5,10,6be721524c8cca0e293beb8d6bf1dfee306ccb948181bdaa94545edb29418ed9,567436aeeeb25ec0995cf243523c62fd81f34503b4810085b9e85ac84041b4fe,,,characters/selectable/0002_Naruto
object,17,22,33,0,character_object,conditional,c\nar\ncl.dat,c,ncl,verified,classified_from_plain_dat,Naruto(Clone),2,2,characters/conditional/0033_Naruto(Clone),5,5,4,1e79078af213896e82ac18a9e0a1d9a7026d3cc5c44386d231b67798d7fa68e3,2b74f7bee4361670f5b59516a2ef0d33fa79312d8e76fafdebe8a8931b9ecd6d,,,characters/conditional/0033_Naruto(Clone)
object,18,23,99,0,character_object,conditional,c\nar\sna.dat,c,sna,verified,classified_from_plain_dat,Naruto(SageMode),1,1,characters/conditional/0099_Naruto(SageMode),6,6,8,5993f9ec8e391c9c7dfe6f079cefe37a3ad4d3ed1dc447bb88906f95c0e6d035,11e8690228e032f213471c39a527a8eb1f6d0444c171b50315da53be1e765606,,,characters/conditional/0099_Naruto(SageMode)
object,19,24,96,0,character_object,conditional,c\nar\snc.dat,c,snc,verified,classified_from_plain_dat,Naruto(SClone),2,2,characters/conditional/0096_Naruto(SClone),4,4,4,69ee090c669468305c38675a141754b7dfb2b912b7ba931c439ae5c5ce612414,ea430fa1bc1ad5eb70cb7474dc98fccaa040cf0f3bf70c49ae3990101ef4159e,,,characters/conditional/0096_Naruto(SClone)
object,20,25,52,0,character_object,conditional,c\nar\kyu.dat,c,kyu,verified,classified_from_plain_dat,Naruto(1T),1,1,characters/conditional/0052_Naruto(1T),7,7,4,f1313a21ec21cb3e29c5daec73d3cba7d18c7ee1891a680777e68a51d7aa88ec,dda39a671112cb13b49769ccfa624aa0ad1436f578f95738e3401c0b14c1e4ab,,,characters/conditional/0052_Naruto(1T)
object,21,26,508,0,character_object,conditional,c\nar\4tk.dat,c,4tk,verified,classified_from_plain_dat,Naruto(4T),1,1,characters/conditional/0508_Naruto(4T),7,7,4,38d3bc34ec37d05829b476ab707cb82121e9c3d72e9d77483a28a2d42c8716fc,e2a26a51b774ad5979e4a1b0da3c0255faadbeff76a44a3138cc84f2a8148d3e,,,characters/conditional/0508_Naruto(4T)
object,22,27,434,3,object_type_3,not_applicable,c\nar\a\ras.dat,c,ras,verified,classified_from_plain_dat,,,,objects/type_3/0434_ras,1,1,2,fdf3fbba9b7b5565a4e2fd596b6b6f6de6eb3ebb142a7cd92d513037b1918e6c,21c93edaf90d5c81195fc780a097b35cc5cb0f1b3153a68670f20357eec7c2bf,,,objects/type_3/0434_ras
object,23,28,518,3,object_type_3,not_applicable,c\nar\a\atk.dat,c,atk,verified,classified_from_plain_dat,,,,objects/type_3/0518_atk,8,8,5,881060dba197c8fd39b1f089be0fe89d30ca3d0aabda37402b5dfad90918cf99,693ead39621ef83077a15049911a432eba7a4ddf021897b2c5acb06d6802b13c,,,objects/type_3/0518_atk
object,24,29,746,3,object_type_3,not_applicable,c\nar\a\4tk.dat,c,4tk,verified,classified_from_plain_dat,,,,objects/type_3/0746_4tk,4,4,3,c20b265dbeb45f6474efa38c40f4d2eafb8a2d4c1b080c34245bcf5255ffc83c,cd1791adb0b82aa886e80829adadba31a7e10e57bbfd235c0fc281246fa3749b,,,objects/type_3/0746_4tk
object,25,31,1,0,character_object,selectable,c\saku\saku.dat,c,saku,verified,classified_from_plain_dat,Sakura,0,0,characters/selectable/0001_Sakura,6,6,10,b96fbc8055c0b3b62b05e9ad2aa735a7e32f56eb2648ebafbde14d8a0509db48,04494cba860dbee5b1bce75773717c8bb3bdaf49dab8c6fcc50c61a11d4c451a,,,characters/selectable/0001_Sakura
object,26,32,704,0,character_object,conditional,c\saku\saku2.dat,c,saku2,verified,classified_from_plain_dat,SakuraCR,1,1,characters/conditional/0704_SakuraCR,6,6,10,cdffbf121d6ebb7ee16b918e54ae2e83fad0814062616c3fc1a623d7206e5f6c,3b104531fbb8098ba83e6ca31808281c51ce41ccaa09d0ba443781e729ebba58,,,characters/conditional/0704_SakuraCR
object,27,33,705,0,character_object,conditional,c\saku\saku3.dat,c,saku3,verified,classified_from_plain_dat,SakuraNothing,1,1,characters/conditional/0705_SakuraNothing,6,6,11,d74a12b85cadc51b1a4fd812599456cbdfd496a1b1cb40c9c26d5369a0e205bc,1e40231268acb181485d989ac53cdcfca141482cca6c379a721cf5e851e7313f,,,characters/conditional/0705_SakuraNothing
object,28,34,700,3,object_type_3,not_applicable,c\saku\a\atk.dat,c,atk,verified,classified_from_plain_dat,,,,objects/type_3/0700_atk,2,2,3,5dd9b3ed4cb43c633b58a706741ea3ceba049c783aa59b068a9e04c89b8b8c92,936822c278d3dda283a5d5aaf08cc3426b966a972f637e314daf52cebf9575eb,,,objects/type_3/0700_atk
object,29,36,11,0,character_object,selectable,c\sasu\sasu.dat,c,sasu,verified,classified_from_plain_dat,Sasuke,0,0,characters/selectable/0011_Sasuke,7,7,9,f0296329c30a30771bbcd292b72296be413b9cf68a460d54c782c02305ab9583,769af3dbc0a246e9470cd062399a109993622525398976c2ca7e62b3ed533667,,,characters/selectable/0011_Sasuke
object,30,37,38,0,character_object,conditional,c\sasu\cs2.dat,c,cs2,verified,classified_from_plain_dat,Sasuke(CS2),1,1,characters/conditional/0038_Sasuke(CS2),6,6,7,066d2cf6d756580ca99e187f82f5b8a4db4cd64b103ffe7b9634c67a8b880fab,e469526adce113283de2a06fd32a310813aee16b59f5768651e375f33758cbe3,,,characters/conditional/0038_Sasuke(CS2)
object,31,38,98,0,character_object,conditional,c\sasu\mss.dat,c,mss,verified,classified_from_plain_dat,Sasuke(MS),1,1,characters/conditional/0098_Sasuke(MS),7,7,12,392448c546cf356c7e100164cee166c4bb353793a4c47fa12e75a4b74f7adaed,a19729d355c943ed9e02a3efd14290b21568faf7b2d991ba799ce50c855b7ce8,,,characters/conditional/0098_Sasuke(MS)
object,32,39,87,0,character_object,conditional,c\sasu\sus.dat,c,sus,verified,classified_from_plain_dat,Sasuke(MSS),1,1,characters/conditional/0087_Sasuke(MSS),6,6,1,40d57b84ac362e24270de66aa0b53862abc9d70ff326250afff45affbed4d28c,00867714e83f7e73a3eae0e8bb61948444a0798d824b6f3e96d6fcc5b7daf530,,,characters/conditional/0087_Sasuke(MSS)
object,33,40,425,3,object_type_3,not_applicable,c\sasu\a\gen.dat,c,gen,verified,classified_from_plain_dat,,,,objects/type_3/0425_gen,1,1,2,d9eebbb5411e31bb513cde7d2a22bd51a38812f01a9485f8cd24f1a0a57aa7ba,dd1005ae6ff8533d5e10b8d24fd9a0a0942cef0c432d68635a2385af72e0094b,,,objects/type_3/0425_gen
object,34,41,440,3,object_type_3,not_applicable,c\sasu\a\chi.dat,c,chi,verified,classified_from_plain_dat,,,,objects/type_3/0440_chi,7,7,5,6c0f2a6b39904230152d83d1ecf8c97076c5c5bbf99ab157240e4574e735a47f,11f6f2231bcbef85ed0bc1589b322dfd59c85747b734ee51b2708af9fbd1140a,,,objects/type_3/0440_chi
object,35,42,806,3,object_type_3,not_applicable,c\sasu\a\mss.dat,c,mss,verified,classified_from_plain_dat,,,,objects/type_3/0806_mss,6,6,1,bb7a64a9a7e9d046474539033f12945be23035ebd0fb5ac4bc96414966dea5be,d0a7f4e295a80b141599f9f45804ccb9d12a82a6745f7dbbe0a8f575d4d298d2,,,objects/type_3/0806_mss
object,36,44,4,0,character_object,selectable,c\sai\sai.dat,c,sai,verified,classified_from_plain_dat,Sai,0,0,characters/selectable/0004_Sai,6,6,4,1d8a8ee87cce86b09f839f02358cb702488195674db2883f484bd0968bedac01,489bfea8da9a4c5d3bfe0fb76549a58ebe385ced0733acc0a51e5672124f7df9,,,characters/selectable/0004_Sai
object,37,45,207,3,object_type_3,not_applicable,c\sai\a\ink.dat,c,ink,verified,classified_from_plain_dat,,,,objects/type_3/0207_ink,5,5,2,bfd40b2b4bb3fc3cd173113535321ffc128f8c642ad584d498fb56d0ec5713d9,0e77531537087a44333da22d266780f55e0a07191f3ae8a4a25f05d51d1918e7,,,objects/type_3/0207_ink
object,38,47,3,0,character_object,selectable,c\kaka\kaka.dat,c,kaka,verified,classified_from_plain_dat,Kakashi,0,0,characters/selectable/0003_Kakashi,5,5,14,4d6f8dd6cd149c38312c8599485dedd7ea6c77ff57f7a49e70f4204e743c3a64,0739556001cc480eac8df09001a536ca889af9c1c840f788b577f496f73da2bb,,,characters/selectable/0003_Kakashi
object,39,48,721,0,character_object,conditional,c\kaka\pak.dat,c,pak,verified,classified_from_plain_dat,Pakkum,2,2,characters/conditional/0721_Pakkum,4,4,1,d37356b1f660b0f29d1c9a5662c42b360f87711449a975408b18064591b6fd90,301f788e47c925ef7b5b053b389251d09db7f50d4b7ca2227c3866622107cb45,,,characters/conditional/0721_Pakkum
object,40,49,707,3,object_type_3,not_applicable,c\kaka\a\rai.dat,c,rai,verified,classified_from_plain_dat,,,,objects/type_3/0707_rai,6,6,5,7226b2fe9b51f2f87af003774b871b31769c8cdf9c6b852c63703804098688f3,de93dd3976064e2525f81452432f31523f8d07c7302b24e6144a3e8a2ecb51ef,,,objects/type_3/0707_rai
object,41,51,13,0,character_object,selectable,c\yam\yam.dat,c,yam,verified,classified_from_plain_dat,Yamato,0,0,characters/selectable/0013_Yamato,9,9,4,e044c3e9139d5d6ef7afef6fb20f05e027a761d2997c1a65a342d330a2420b65,3e339077f24a82fa5f0005118bf24bbc46ea59294b9aa6fd3e43a38a3ad731dc,,,characters/selectable/0013_Yamato
object,42,52,48,0,character_object,conditional,c\yam\ycl.dat,c,ycl,verified,classified_from_plain_dat,Yamato(Clone),2,2,characters/conditional/0048_Yamato(Clone),4,4,1,6968e6614a9709fcf92519377a0835bdd665778ae97369263cd0c11b6e366254,7d38e4f24a77eb59e301d3d80dab110a8e9b67add55276b29d63a098353301d8,,,characters/conditional/0048_Yamato(Clone)
object,43,53,555,3,object_type_3,not_applicable,c\yam\a\tre.dat,c,tre,verified,classified_from_plain_dat,,,,objects/type_3/0555_tre,4,4,2,2e20642634e2505596975511945d680a3e8a2de2409a539f73601d0539130432,cb3d206af5e28bb46c516d7b1673ef2ba7fd91fac4828c78ef10a1a31610875c,,,objects/type_3/0555_tre
object,44,55,65,0,character_object,selectable,c\ank\ank.dat,c,ank,verified,classified_from_plain_dat,Anko,0,0,characters/selectable/0065_Anko,8,8,8,7beefed713cc85cdf2bf36399fe158b63e822038fbed09ae79901bb6b3e81ac5,830c46785bb6e554bffc976f865fddb33ea0f4e5e53ca26c0642b69a5714c1b2,,,characters/selectable/0065_Anko
object,45,56,44,0,character_object,conditional,c\ank\acl.dat,c,acl,verified,classified_from_plain_dat,Anko(Clone),2,2,characters/conditional/0044_Anko(Clone),4,4,3,14dd0d2f000c510970f2a351aeb8e077abae3f7df95d0e7cc1d6be620b651ca5,f0f832c6cd243ce4c0732db418322a3af3aa7a1b66fcd7c9b360992647b7ee62,,,characters/conditional/0044_Anko(Clone)
object,46,57,870,0,character_object,conditional,c\ank\ssnk.dat,c,ssnk,verified,classified_from_plain_dat,Snake,2,2,characters/conditional/0870_Snake,4,4,1,426e106abaf97ed522dcabfbe8db2cbd0f57acd4bfef5a484c363b27209d7260,2eb4a219618d201c5161b808d1635987a8013e4ef1d112a2080a15c6949b48c7,,,characters/conditional/0870_Snake
object,47,58,875,3,object_type_3,not_applicable,c\ank\a\atk.dat,c,atk,verified,classified_from_plain_dat,,,,objects/type_3/0875_atk,7,7,5,fc34315bd542bc9e721419e6390103d9f165a055cfcec45d1a66d9bae1894cf8,fed9cdd5336241c59a14fd5deaf627425ba6d890041da729c46b852b40ad5f08,,,objects/type_3/0875_atk
object,48,59,876,3,object_type_3,not_applicable,c\ank\a\atk2.dat,c,atk2,verified,classified_from_plain_dat,,,,objects/type_3/0876_atk2,1,1,1,75fc8de9a37b3d55fb9e4e28eff8001a809840cbe46584dd7cd9317fdfad3e95,d04b1eaea7c76843431cb40544d07cf06c432a311b53f8d9c975885cc48a2080,,,objects/type_3/0876_atk2
object,49,60,877,3,object_type_3,not_applicable,c\ank\a\atk3.dat,c,atk3,verified,classified_from_plain_dat,,,,objects/type_3/0877_atk3,1,1,0,7153743bc721ffa43b564308867a5e8bdc6b527a476620d54006b49d903c4130,4c06dac66040221b25ec93b78b3e878ca1366c567a190bac861815fdca11246d,,,objects/type_3/0877_atk3
object,50,62,73,0,character_object,selectable,c\hay\hay.dat,c,hay,verified,classified_from_plain_dat,Hayate,0,0,characters/selectable/0073_Hayate,7,7,7,629c256d94fad3f338d5bc27218d667486f622240e67f23caf8352c0738da315,d93bee826ed9b5a26b39f4aedbf93a6f91568cde0a48c678b16f46d28671f482,,,characters/selectable/0073_Hayate
object,51,63,410,0,character_object,conditional,c\hay\hayS.dat,c,hayS,verified,classified_from_plain_dat,Hayate(Hidden),2,2,characters/conditional/0410_Hayate(Hidden),6,6,6,4ea9b681d55ab76ccdd4eff64f692f8f2f899e23aa95d9c1e2c3b67f85648b8b,8bd092a475781fe1b090769398985ab7be79c11c67f02c63f8c809196281ba19,,,characters/conditional/0410_Hayate(Hidden)
object,52,64,412,0,character_object,conditional,c\hay\clo1.dat,c,clo1,verified,classified_from_plain_dat,Hayate(Clone),2,2,characters/conditional/0412_Hayate(Clone),5,5,2,c3f9af3d2cd0ac2e60f8d8f4ba549ffa9e96221167f3aa05d9cf3e805d877766,473c8e8deabaa48b335cf1650d0741e7d428b7c9819bea5ce18eb5ff2cbf5c18,,,characters/conditional/0412_Hayate(Clone)
object,53,65,413,0,character_object,conditional,c\hay\clo2.dat,c,clo2,verified,classified_from_plain_dat,Hayate(Clone2),2,2,characters/conditional/0413_Hayate(Clone2),5,5,2,983954573c6d66d61ef62dd19d6d4e751d3d43b1a90c21e285185bf7d42fe39e,81c91e8a72008a867e9db50529d0e57ccd0fbd294f74a1ac561667e9c86fba36,,,characters/conditional/0413_Hayate(Clone2)
object,54,66,417,3,object_type_3,not_applicable,c\hay\a\sla.dat,c,sla,verified,classified_from_plain_dat,,,,objects/type_3/0417_sla,8,8,2,2631206d8d62c9d7b38dfdee76c3a7f3d68021f07f3f7012da430f88fa218bd1,7919a5966ecd7e3dd88a92e4b4d8563c653b284ad77f5ad6d2fc807ba046f288,,,objects/type_3/0417_sla
object,55,67,418,3,object_type_3,not_applicable,c\hay\a\blo.dat,c,blo,verified,classified_from_plain_dat,,,,objects/type_3/0418_blo,3,3,2,7ac69822561f7d8780b4c90a7b0e8d32d0f9f2cb6ad006f89b3fa895d640f514,580aa05030e53ec8b6584ecfd356edb0d30165188650cbb929925d67a1dc9593,,,objects/type_3/0418_blo
object,56,69,72,0,character_object,selectable,c\dan\dan.dat,c,dan,verified,classified_from_plain_dat,Danzo,0,0,characters/selectable/0072_Danzo,6,6,9,629abe62cf1b2d83b7709d93cbd2d965b9024c359c417e645e048d272cd55091,bc4107883a1acfe84e46bdfcffe222543964bd2ec39f3aff2e54d584c3957bbb,,,characters/selectable/0072_Danzo
object,57,70,604,0,character_object,conditional,c\dan\danr.dat,c,danr,verified,classified_from_plain_dat,Danzo(Unsealed),1,1,characters/conditional/0604_Danzo(Unsealed),7,7,8,d94b879e035b3b1e2851baf48d951a1f1e3deaf47127991da954923d613e4aa6,faa1e6af4890fb0c1292b9bab9f170880af87580729eb2be551ebb857cb3cb6d,,,characters/conditional/0604_Danzo(Unsealed)
object,58,71,406,3,object_type_3,not_applicable,c\dan\a\win.dat,c,win,verified,classified_from_plain_dat,,,,objects/type_3/0406_win,6,6,1,2e8758fdef5c42c40a044616833c50dd45bf60c9c6aa34b34d3622ec209c7efb,90d1482c4108361f1e9aa25b4673f276f4c82ae42be186cb923952c450a9d351,,,objects/type_3/0406_win
object,59,72,407,3,object_type_3,not_applicable,c\dan\a\iza.dat,c,iza,verified,classified_from_plain_dat,,,,objects/type_3/0407_iza,2,2,3,0bb049a859af987572f7bdf3923f18653166bb474098e40204ae8fa8400c6ed4,98fea729a7a9f68395b5ba1e102978f381f42967b0898f762c4dde66fd94da2f,,,objects/type_3/0407_iza
object,60,73,408,3,object_type_3,not_applicable,c\dan\a\mark.dat,c,mark,verified,classified_from_plain_dat,,,,objects/type_3/0408_mark,1,1,1,c9353e138ab732cb834644dae96aea3238f9e8b3963c3428e23d50839bfd7ed1,283ad1960ebeb0e43ee2570435405437b4100aff4958010b7bd926f285b00cd7,,,objects/type_3/0408_mark
object,61,75,70,0,character_object,selectable,c\shis\shis.dat,c,shis,verified,classified_from_plain_dat,Shisui,0,0,characters/selectable/0070_Shisui,7,7,8,ac521c6683ff44b38924eb9e7b2946d6389a37a4bbff9a29b4834e52497c46b8,120d181e8ae7e8055e217051ab26bf40665ae9479fb4e8c07a5e2f593984894f,,,characters/selectable/0070_Shisui
object,62,76,710,3,object_type_3,not_applicable,c\shis\a\gen.dat,c,gen,verified,classified_from_plain_dat,,,,objects/type_3/0710_gen,4,4,2,c68f4195f0f1b28f634cf5d4aaff9dce450ec4df12e0be36f183cb8f09be620e,0a3376018c88c00b613a6bed61aa92690df3c9d4d878d623ac5864684e25ea77,,,objects/type_3/0710_gen
object,63,78,18,0,character_object,selectable,c\nej\nej.dat,c,nej,verified,classified_from_plain_dat,Neji,0,0,characters/selectable/0018_Neji,5,5,7,789248298018f10b334ef4fa3d09ec101e720308c4876a6f951b543cdaefdb4b,5a627bc490c4afd47ebe5a6a6e0e74b77589e814bd50af582c0d08b3c741fb9c,,,characters/selectable/0018_Neji
object,64,79,444,3,object_type_3,not_applicable,c\nej\a\bya.dat,c,bya,verified,classified_from_plain_dat,,,,objects/type_3/0444_bya,1,1,2,cce33337a07d429942ca740e52ffe9bbefcdb9e5587777d9489311067170d0c9,c3530788928bbf59134a5b890c8cc35997860843c18baa0b36f4b1708375e483,,,objects/type_3/0444_bya
object,65,80,445,3,object_type_3,not_applicable,c\nej\a\bya2.dat,c,bya2,verified,classified_from_plain_dat,,,,objects/type_3/0445_bya2,1,1,2,f091934083fafb46771b83646fefa9d78839d53d6e2a4ac210b3171be07dd088,6317a5b50854c59d65f503847b656119da21610b2cce25d80b6b3ec923e4a74f,,,objects/type_3/0445_bya2
object,66,81,809,3,object_type_3,not_applicable,c\nej\a\are.dat,c,are,verified,classified_from_plain_dat,,,,objects/type_3/0809_are,5,5,3,12872c47972b4fb039f9bab7e27e8382ccf51a9066686dc9fac9ca46e2356d64,55f97f7f3245a3fe58eeefcc5ed5e41301e397490efa74be4ccc4790f5a3aedb,,,objects/type_3/0809_are
object,67,83,41,0,character_object,conditional,c\hin\hin.dat,c,hin,verified,classified_from_plain_dat,Hinata,1,1,characters/conditional/0041_Hinata,13,13,8,c12062ce234518e54cfcfd577b7ac55f2b58a2a39e5038f64abbedda122cd32f,ae792fa25ca35895c3a5d773542789367784b5bc984d405920e8c62dd01e9d96,,,characters/conditional/0041_Hinata
object,68,84,280,3,object_type_3,not_applicable,c\hin\a\wind.dat,c,wind,verified,classified_from_plain_dat,,,,objects/type_3/0280_wind,1,1,0,00ab91a22ac7d18588830d055d284c9bdb91f9f2c901feca8afa70b87676aed4,c495dd20128d605688a563a0e9c98d123ee0d324f790529220caab17e37b3de6,,,objects/type_3/0280_wind
object,69,85,810,3,object_type_3,not_applicable,c\hin\a\are.dat,c,are,verified,classified_from_plain_dat,,,,objects/type_3/0810_are,6,6,2,3092e68f379aa362a3cd55886c4274e2dfc7b33bf1683efddfcd819667bfbdab,8fd3b603e3a6993d48a83b736abd1ef2abe0b832a7834bbfcf5d6747e48ccba7,,,objects/type_3/0810_are
object,70,86,866,1,object_type_1,not_applicable,c\hin\a\hincha.dat,c,hincha,verified,classified_from_plain_dat,,,,objects/type_1/0866_hincha,1,1,1,101fa4c0fdfa866b1c2964d91e8c1881509c9e88d00dd320d8a29357869d7702,c2ee5a3a7fdcf5924d3301e4cadef3a5f791883ff60918759e36a3e7adea671c,,,objects/type_1/0866_hincha
object,71,88,7,0,character_object,selectable,c\lee\lee.dat,c,lee,verified,classified_from_plain_dat,Rock_Lee,0,0,characters/selectable/0007_Rock_Lee,6,6,8,775079f67116e0ea490dd57fc6fb226e1813c6d645807e4d49273639929c99be,d565be6b8ef1087c861c83e9732e5f3739d058fe29d19746440bbd218efd8ce4,,,characters/selectable/0007_Rock_Lee
object,72,89,814,3,object_type_3,not_applicable,c\lee\a\lee.dat,c,lee,verified,classified_from_plain_dat,,,,objects/type_3/0814_lee,4,4,0,4653f79315fb88ee09107c9108f5bb681c76df1399023771d24109e146b0aa6d,ef762aae0c633a58569af5b2e37af4b48351e2ecce66587220868063b0f40bcc,,,objects/type_3/0814_lee
object,73,91,506,0,character_object,conditional,c\guy\guy.dat,c,guy,verified,classified_from_plain_dat,Might_Guy,2,2,characters/conditional/0506_Might_Guy,7,7,6,2f5ef8a08eaa2c15887439446305ec6e029d2fd0c3d56ca605111a63fbfc763d,3fb0473559812c43becf88b592cfc29ea6ef5b3a43a9776531211883a0f3a11f,,,characters/conditional/0506_Might_Guy
