oid	type	hp	mp	regen	hasStats	bound	cmp	doubleCost	weak	bonus	render	credit	mode	f6	phase	validFrame	pending	expectedMp
51	0	400	100	-4	1	0	0	0	0	0	0	-1	-1	1	0	1	0	96
52	0	400	100	-4	1	0	0	0	0	0	0	-1	-1	1	0	1	0	96
77	0	400	100	-4	1	0	0	0	0	0	0	-1	0	1	0	1	0	96
51	0	400	100	-4	1	0	0	0	0	0	0	-1	0	1	0	1	0	96
52	0	400	100	-4	1	0	0	0	0	0	0	-1	0	1	0	1	0	96
77	0	400	100	-4	1	0	0	0	0	0	0	-1	1	1	0	1	0	96
51	0	400	100	-4	1	0	0	0	0	0	0	-1	1	1	0	1	0	96
52	0	400	100	-4	1	0	0	0	0	0	0	-1	1	1	0	1	0	96
77	0	400	100	-4	1	0	0	0	0	0	0	-1	2	1	0	1	0	96
51	0	400	100	-4	1	0	0	0	0	0	0	-1	2	1	0	1	0	96
52	0	400	100	-4	1	0	0	0	0	0	0	-1	2	1	0	1	0	96
77	0	400	100	-3	1	0	0	0	0	0	0	-1	-1	1	0	1	0	98
51	0	400	100	-3	1	0	0	0	0	0	0	-1	-1	1	0	1	0	98
52	0	400	100	-3	1	0	0	0	0	0	0	-1	-1	1	0	1	0	98
77	0	400	100	-3	1	0	0	0	0	0	0	-1	0	1	0	1	0	98
51	0	400	100	-3	1	0	0	0	0	0	0	-1	0	1	0	1	0	98
52	0	400	100	-3	1	0	0	0	0	0	0	-1	0	1	0	1	0	98
77	0	400	100	-3	1	0	0	0	0	0	0	-1	1	1	0	1	0	98
51	0	400	100	-3	1	0	0	0	0	0	0	-1	1	1	0	1	0	98
52	0	400	100	-3	1	0	0	0	0	0	0	-1	1	1	0	1	0	98
77	0	400	100	-3	1	0	0	0	0	0	0	-1	2	1	0	1	0	98
51	0	400	100	-3	1	0	0	0	0	0	0	-1	2	1	0	1	0	98
52	0	400	100	-3	1	0	0	0	0	0	0	-1	2	1	0	1	0	98
77	0	400	100	-2	1	0	0	0	0	0	0	-1	-1	1	0	1	0	99
51	0	400	100	-2	1	0	0	0	0	0	0	-1	-1	1	0	1	0	99
52	0	400	100	-2	1	0	0	0	0	0	0	-1	-1	1	0	1	0	99
77	0	400	100	-2	1	0	0	0	0	0	0	-1	0	1	0	1	0	99
51	0	400	100	-2	1	0	0	0	0	0	0	-1	0	1	0	1	0	99
52	0	400	100	-2	1	0	0	0	0	0	0	-1	0	1	0	1	0	99
77	0	400	100	-2	1	0	0	0	0	0	0	-1	1	1	0	1	0	99
51	0	400	100	-2	1	0	0	0	0	0	0	-1	1	1	0	1	0	99
52	0	400	100	-2	1	0	0	0	0	0	0	-1	1	1	0	1	0	99
77	0	400	100	-2	1	0	0	0	0	0	0	-1	2	1	0	1	0	99
51	0	400	100	-2	1	0	0	0	0	0	0	-1	2	1	0	1	0	99
52	0	400	100	-2	1	0	0	0	0	0	0	-1	2	1	0	1	0	99
77	0	400	100	-1	1	0	0	0	0	0	0	-1	-1	1	0	1	0	100
51	0	400	100	-1	1	0	0	0	0	0	0	-1	-1	1	0	1	0	100
52	0	400	100	-1	1	0	0	0	0	0	0	-1	-1	1	0	1	0	100
77	0	400	100	-1	1	0	0	0	0	0	0	-1	0	1	0	1	0	100
51	0	400	100	-1	1	0	0	0	0	0	0	-1	0	1	0	1	0	100
52	0	400	100	-1	1	0	0	0	0	0	0	-1	0	1	0	1	0	100
77	0	400	100	-1	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
51	0	400	100	-1	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
52	0	400	100	-1	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
77	0	400	100	-1	1	0	0	0	0	0	0	-1	2	1	0	1	0	100
51	0	400	100	-1	1	0	0	0	0	0	0	-1	2	1	0	1	0	100
52	0	400	100	-1	1	0	0	0	0	0	0	-1	2	1	0	1	0	100
77	0	400	100	0	1	0	0	0	0	0	0	-1	-1	1	0	1	0	102
51	0	400	100	0	1	0	0	0	0	0	0	-1	-1	1	0	1	0	104
52	0	400	100	0	1	0	0	0	0	0	0	-1	-1	1	0	1	0	104
77	0	400	100	0	1	0	0	0	0	0	0	-1	0	1	0	1	0	102
51	0	400	100	0	1	0	0	0	0	0	0	-1	0	1	0	1	0	104
52	0	400	100	0	1	0	0	0	0	0	0	-1	0	1	0	1	0	104
77	0	400	100	0	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
51	0	400	100	0	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
52	0	400	100	0	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
77	0	400	100	0	1	0	0	0	0	0	0	-1	2	1	0	1	0	102
51	0	400	100	0	1	0	0	0	0	0	0	-1	2	1	0	1	0	104
52	0	400	100	0	1	0	0	0	0	0	0	-1	2	1	0	1	0	104
77	0	400	100	1	1	0	0	0	0	0	0	-1	-1	1	0	1	0	102
51	0	400	100	1	1	0	0	0	0	0	0	-1	-1	1	0	1	0	102
52	0	400	100	1	1	0	0	0	0	0	0	-1	-1	1	0	1	0	102
77	0	400	100	1	1	0	0	0	0	0	0	-1	0	1	0	1	0	102
51	0	400	100	1	1	0	0	0	0	0	0	-1	0	1	0	1	0	102
52	0	400	100	1	1	0	0	0	0	0	0	-1	0	1	0	1	0	102
77	0	400	100	1	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
51	0	400	100	1	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
52	0	400	100	1	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
77	0	400	100	1	1	0	0	0	0	0	0	-1	2	1	0	1	0	102
51	0	400	100	1	1	0	0	0	0	0	0	-1	2	1	0	1	0	102
52	0	400	100	1	1	0	0	0	0	0	0	-1	2	1	0	1	0	102
77	0	400	100	2	1	0	0	0	0	0	0	-1	-1	1	0	1	0	104
51	0	400	100	2	1	0	0	0	0	0	0	-1	-1	1	0	1	0	104
52	0	400	100	2	1	0	0	0	0	0	0	-1	-1	1	0	1	0	104
77	0	400	100	2	1	0	0	0	0	0	0	-1	0	1	0	1	0	104
51	0	400	100	2	1	0	0	0	0	0	0	-1	0	1	0	1	0	104
52	0	400	100	2	1	0	0	0	0	0	0	-1	0	1	0	1	0	104
77	0	400	100	2	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
51	0	400	100	2	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
52	0	400	100	2	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
77	0	400	100	2	1	0	0	0	0	0	0	-1	2	1	0	1	0	104
51	0	400	100	2	1	0	0	0	0	0	0	-1	2	1	0	1	0	104
52	0	400	100	2	1	0	0	0	0	0	0	-1	2	1	0	1	0	104
77	0	400	100	3	1	0	0	0	0	0	0	-1	-1	1	0	1	0	105
51	0	400	100	3	1	0	0	0	0	0	0	-1	-1	1	0	1	0	105
52	0	400	100	3	1	0	0	0	0	0	0	-1	-1	1	0	1	0	105
77	0	400	100	3	1	0	0	0	0	0	0	-1	0	1	0	1	0	105
51	0	400	100	3	1	0	0	0	0	0	0	-1	0	1	0	1	0	105
52	0	400	100	3	1	0	0	0	0	0	0	-1	0	1	0	1	0	105
77	0	400	100	3	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
51	0	400	100	3	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
52	0	400	100	3	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
77	0	400	100	3	1	0	0	0	0	0	0	-1	2	1	0	1	0	105
51	0	400	100	3	1	0	0	0	0	0	0	-1	2	1	0	1	0	105
52	0	400	100	3	1	0	0	0	0	0	0	-1	2	1	0	1	0	105
77	0	400	100	4	1	0	0	0	0	0	0	-1	-1	1	0	1	0	105
51	0	400	100	4	1	0	0	0	0	0	0	-1	-1	1	0	1	0	105
52	0	400	100	4	1	0	0	0	0	0	0	-1	-1	1	0	1	0	105
77	0	400	100	4	1	0	0	0	0	0	0	-1	0	1	0	1	0	105
51	0	400	100	4	1	0	0	0	0	0	0	-1	0	1	0	1	0	105
52	0	400	100	4	1	0	0	0	0	0	0	-1	0	1	0	1	0	105
77	0	400	100	4	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
51	0	400	100	4	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
52	0	400	100	4	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
77	0	400	100	4	1	0	0	0	0	0	0	-1	2	1	0	1	0	105
51	0	400	100	4	1	0	0	0	0	0	0	-1	2	1	0	1	0	105
52	0	400	100	4	1	0	0	0	0	0	0	-1	2	1	0	1	0	105
77	0	400	100	5	1	0	0	0	0	0	0	-1	-1	1	0	1	0	102
51	0	400	100	5	1	0	0	0	0	0	0	-1	-1	1	0	1	0	104
52	0	400	100	5	1	0	0	0	0	0	0	-1	-1	1	0	1	0	104
77	0	400	100	5	1	0	0	0	0	0	0	-1	0	1	0	1	0	102
51	0	400	100	5	1	0	0	0	0	0	0	-1	0	1	0	1	0	104
52	0	400	100	5	1	0	0	0	0	0	0	-1	0	1	0	1	0	104
77	0	400	100	5	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
51	0	400	100	5	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
52	0	400	100	5	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
77	0	400	100	5	1	0	0	0	0	0	0	-1	2	1	0	1	0	102
51	0	400	100	5	1	0	0	0	0	0	0	-1	2	1	0	1	0	104
52	0	400	100	5	1	0	0	0	0	0	0	-1	2	1	0	1	0	104
77	0	400	100	6	1	0	0	0	0	0	0	-1	-1	1	0	1	0	102
51	0	400	100	6	1	0	0	0	0	0	0	-1	-1	1	0	1	0	104
52	0	400	100	6	1	0	0	0	0	0	0	-1	-1	1	0	1	0	104
77	0	400	100	6	1	0	0	0	0	0	0	-1	0	1	0	1	0	102
51	0	400	100	6	1	0	0	0	0	0	0	-1	0	1	0	1	0	104
52	0	400	100	6	1	0	0	0	0	0	0	-1	0	1	0	1	0	104
77	0	400	100	6	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
51	0	400	100	6	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
52	0	400	100	6	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
77	0	400	100	6	1	0	0	0	0	0	0	-1	2	1	0	1	0	102
51	0	400	100	6	1	0	0	0	0	0	0	-1	2	1	0	1	0	104
52	0	400	100	6	1	0	0	0	0	0	0	-1	2	1	0	1	0	104
77	0	400	100	7	1	0	0	0	0	0	0	-1	-1	1	0	1	0	102
51	0	400	100	7	1	0	0	0	0	0	0	-1	-1	1	0	1	0	104
52	0	400	100	7	1	0	0	0	0	0	0	-1	-1	1	0	1	0	104
77	0	400	100	7	1	0	0	0	0	0	0	-1	0	1	0	1	0	102
51	0	400	100	7	1	0	0	0	0	0	0	-1	0	1	0	1	0	104
52	0	400	100	7	1	0	0	0	0	0	0	-1	0	1	0	1	0	104
77	0	400	100	7	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
51	0	400	100	7	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
52	0	400	100	7	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
77	0	400	100	7	1	0	0	0	0	0	0	-1	2	1	0	1	0	102
51	0	400	100	7	1	0	0	0	0	0	0	-1	2	1	0	1	0	104
52	0	400	100	7	1	0	0	0	0	0	0	-1	2	1	0	1	0	104
77	0	400	100	8	1	0	0	0	0	0	0	-1	-1	1	0	1	0	102
51	0	400	100	8	1	0	0	0	0	0	0	-1	-1	1	0	1	0	104
52	0	400	100	8	1	0	0	0	0	0	0	-1	-1	1	0	1	0	104
77	0	400	100	8	1	0	0	0	0	0	0	-1	0	1	0	1	0	102
51	0	400	100	8	1	0	0	0	0	0	0	-1	0	1	0	1	0	104
52	0	400	100	8	1	0	0	0	0	0	0	-1	0	1	0	1	0	104
77	0	400	100	8	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
51	0	400	100	8	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
52	0	400	100	8	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
77	0	400	100	8	1	0	0	0	0	0	0	-1	2	1	0	1	0	102
51	0	400	100	8	1	0	0	0	0	0	0	-1	2	1	0	1	0	104
52	0	400	100	8	1	0	0	0	0	0	0	-1	2	1	0	1	0	104
77	0	400	100	9	1	0	0	0	0	0	0	-1	-1	1	0	1	0	102
51	0	400	100	9	1	0	0	0	0	0	0	-1	-1	1	0	1	0	104
52	0	400	100	9	1	0	0	0	0	0	0	-1	-1	1	0	1	0	104
77	0	400	100	9	1	0	0	0	0	0	0	-1	0	1	0	1	0	102
51	0	400	100	9	1	0	0	0	0	0	0	-1	0	1	0	1	0	104
52	0	400	100	9	1	0	0	0	0	0	0	-1	0	1	0	1	0	104
77	0	400	100	9	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
51	0	400	100	9	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
52	0	400	100	9	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
77	0	400	100	9	1	0	0	0	0	0	0	-1	2	1	0	1	0	102
51	0	400	100	9	1	0	0	0	0	0	0	-1	2	1	0	1	0	104
52	0	400	100	9	1	0	0	0	0	0	0	-1	2	1	0	1	0	104
77	0	400	100	10	1	0	0	0	0	0	0	-1	-1	1	0	1	0	101
51	0	400	100	10	1	0	0	0	0	0	0	-1	-1	1	0	1	0	101
52	0	400	100	10	1	0	0	0	0	0	0	-1	-1	1	0	1	0	101
77	0	400	100	10	1	0	0	0	0	0	0	-1	0	1	0	1	0	101
51	0	400	100	10	1	0	0	0	0	0	0	-1	0	1	0	1	0	101
52	0	400	100	10	1	0	0	0	0	0	0	-1	0	1	0	1	0	101
77	0	400	100	10	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
51	0	400	100	10	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
52	0	400	100	10	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
77	0	400	100	10	1	0	0	0	0	0	0	-1	2	1	0	1	0	101
51	0	400	100	10	1	0	0	0	0	0	0	-1	2	1	0	1	0	101
52	0	400	100	10	1	0	0	0	0	0	0	-1	2	1	0	1	0	101
77	0	400	100	11	1	0	0	0	0	0	0	-1	-1	1	0	1	0	102
51	0	400	100	11	1	0	0	0	0	0	0	-1	-1	1	0	1	0	102
52	0	400	100	11	1	0	0	0	0	0	0	-1	-1	1	0	1	0	102
77	0	400	100	11	1	0	0	0	0	0	0	-1	0	1	0	1	0	102
51	0	400	100	11	1	0	0	0	0	0	0	-1	0	1	0	1	0	102
52	0	400	100	11	1	0	0	0	0	0	0	-1	0	1	0	1	0	102
77	0	400	100	11	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
51	0	400	100	11	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
52	0	400	100	11	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
77	0	400	100	11	1	0	0	0	0	0	0	-1	2	1	0	1	0	102
51	0	400	100	11	1	0	0	0	0	0	0	-1	2	1	0	1	0	102
52	0	400	100	11	1	0	0	0	0	0	0	-1	2	1	0	1	0	102
77	0	400	100	12	1	0	0	0	0	0	0	-1	-1	1	0	1	0	104
51	0	400	100	12	1	0	0	0	0	0	0	-1	-1	1	0	1	0	104
52	0	400	100	12	1	0	0	0	0	0	0	-1	-1	1	0	1	0	104
77	0	400	100	12	1	0	0	0	0	0	0	-1	0	1	0	1	0	104
51	0	400	100	12	1	0	0	0	0	0	0	-1	0	1	0	1	0	104
52	0	400	100	12	1	0	0	0	0	0	0	-1	0	1	0	1	0	104
77	0	400	100	12	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
51	0	400	100	12	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
52	0	400	100	12	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
77	0	400	100	12	1	0	0	0	0	0	0	-1	2	1	0	1	0	104
51	0	400	100	12	1	0	0	0	0	0	0	-1	2	1	0	1	0	104
52	0	400	100	12	1	0	0	0	0	0	0	-1	2	1	0	1	0	104
77	0	400	100	13	1	0	0	0	0	0	0	-1	-1	1	0	1	0	105
51	0	400	100	13	1	0	0	0	0	0	0	-1	-1	1	0	1	0	105
52	0	400	100	13	1	0	0	0	0	0	0	-1	-1	1	0	1	0	105
77	0	400	100	13	1	0	0	0	0	0	0	-1	0	1	0	1	0	105
51	0	400	100	13	1	0	0	0	0	0	0	-1	0	1	0	1	0	105
52	0	400	100	13	1	0	0	0	0	0	0	-1	0	1	0	1	0	105
77	0	400	100	13	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
51	0	400	100	13	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
52	0	400	100	13	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
77	0	400	100	13	1	0	0	0	0	0	0	-1	2	1	0	1	0	105
51	0	400	100	13	1	0	0	0	0	0	0	-1	2	1	0	1	0	105
52	0	400	100	13	1	0	0	0	0	0	0	-1	2	1	0	1	0	105
77	0	400	100	14	1	0	0	0	0	0	0	-1	-1	1	0	1	0	105
51	0	400	100	14	1	0	0	0	0	0	0	-1	-1	1	0	1	0	105
52	0	400	100	14	1	0	0	0	0	0	0	-1	-1	1	0	1	0	105
77	0	400	100	14	1	0	0	0	0	0	0	-1	0	1	0	1	0	105
51	0	400	100	14	1	0	0	0	0	0	0	-1	0	1	0	1	0	105
52	0	400	100	14	1	0	0	0	0	0	0	-1	0	1	0	1	0	105
77	0	400	100	14	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
51	0	400	100	14	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
52	0	400	100	14	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
77	0	400	100	14	1	0	0	0	0	0	0	-1	2	1	0	1	0	105
51	0	400	100	14	1	0	0	0	0	0	0	-1	2	1	0	1	0	105
52	0	400	100	14	1	0	0	0	0	0	0	-1	2	1	0	1	0	105
77	0	400	100	15	1	0	0	0	0	0	0	-1	-1	1	0	1	0	102
51	0	400	100	15	1	0	0	0	0	0	0	-1	-1	1	0	1	0	104
52	0	400	100	15	1	0	0	0	0	0	0	-1	-1	1	0	1	0	104
77	0	400	100	15	1	0	0	0	0	0	0	-1	0	1	0	1	0	102
51	0	400	100	15	1	0	0	0	0	0	0	-1	0	1	0	1	0	104
52	0	400	100	15	1	0	0	0	0	0	0	-1	0	1	0	1	0	104
77	0	400	100	15	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
51	0	400	100	15	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
52	0	400	100	15	1	0	0	0	0	0	0	-1	1	1	0	1	0	100
77	0	400	100	15	1	0	0	0	0	0	0	-1	2	1	0	1	0	102
51	0	400	100	15	1	0	0	0	0	0	0	-1	2	1	0	1	0	104
52	0	400	100	15	1	0	0	0	0	0	0	-1	2	1	0	1	0	104
77	0	-100	-5	-7	1	0	0	0	0	0	0	-1	0	1	0	1	0	2
77	0	-100	-5	-7	1	0	0	0	0	0	0	-1	1	1	0	1	0	2
77	0	-100	-5	-7	1	0	0	0	0	0	0	0	0	1	0	1	0	2
77	0	-100	-5	-7	1	0	0	0	0	0	0	0	1	1	0	1	0	2
77	0	-100	0	-7	1	0	0	0	0	0	0	-1	0	1	0	1	0	7
77	0	-100	0	-7	1	0	0	0	0	0	0	-1	1	1	0	1	0	7
77	0	-100	0	-7	1	0	0	0	0	0	0	0	0	1	0	1	0	7
77	0	-100	0	-7	1	0	0	0	0	0	0	0	1	1	0	1	0	7
77	0	-100	149	-7	1	0	0	0	0	0	0	-1	0	1	0	1	0	156
77	0	-100	149	-7	1	0	0	0	0	0	0	-1	1	1	0	1	0	156
77	0	-100	149	-7	1	0	0	0	0	0	0	0	0	1	0	1	0	156
77	0	-100	149	-7	1	0	0	0	0	0	0	0	1	1	0	1	0	156
77	0	-100	150	-7	1	0	0	0	0	0	0	-1	0	1	0	1	0	157
77	0	-100	150	-7	1	0	0	0	0	0	0	-1	1	1	0	1	0	157
77	0	-100	150	-7	1	0	0	0	0	0	0	0	0	1	0	1	0	157
77	0	-100	150	-7	1	0	0	0	0	0	0	0	1	1	0	1	0	157
77	0	-100	151	-7	1	0	0	0	0	0	0	-1	0	1	0	1	0	158
77	0	-100	151	-7	1	0	0	0	0	0	0	-1	1	1	0	1	0	158
77	0	-100	151	-7	1	0	0	0	0	0	0	0	0	1	0	1	0	151
77	0	-100	151	-7	1	0	0	0	0	0	0	0	1	1	0	1	0	151
77	0	-100	499	-7	1	0	0	0	0	0	0	-1	0	1	0	1	0	500
77	0	-100	499	-7	1	0	0	0	0	0	0	-1	1	1	0	1	0	500
77	0	-100	499	-7	1	0	0	0	0	0	0	0	0	1	0	1	0	499
77	0	-100	499	-7	1	0	0	0	0	0	0	0	1	1	0	1	0	499
77	0	-100	500	-7	1	0	0	0	0	0	0	-1	0	1	0	1	0	500
77	0	-100	500	-7	1	0	0	0	0	0	0	-1	1	1	0	1	0	500
77	0	-100	500	-7	1	0	0	0	0	0	0	0	0	1	0	1	0	500
77	0	-100	500	-7	1	0	0	0	0	0	0	0	1	1	0	1	0	500
77	0	-100	501	-7	1	0	0	0	0	0	0	-1	0	1	0	1	0	501
77	0	-100	501	-7	1	0	0	0	0	0	0	-1	1	1	0	1	0	501
77	0	-100	501	-7	1	0	0	0	0	0	0	0	0	1	0	1	0	501
77	0	-100	501	-7	1	0	0	0	0	0	0	0	1	1	0	1	0	501
77	0	0	-5	-7	1	0	0	0	0	0	0	-1	0	1	0	1	0	1
77	0	0	-5	-7	1	0	0	0	0	0	0	-1	1	1	0	1	0	1
77	0	0	-5	-7	1	0	0	0	0	0	0	0	0	1	0	1	0	1
77	0	0	-5	-7	1	0	0	0	0	0	0	0	1	1	0	1	0	1
77	0	0	0	-7	1	0	0	0	0	0	0	-1	0	1	0	1	0	6
77	0	0	0	-7	1	0	0	0	0	0	0	-1	1	1	0	1	0	6
77	0	0	0	-7	1	0	0	0	0	0	0	0	0	1	0	1	0	6
77	0	0	0	-7	1	0	0	0	0	0	0	0	1	1	0	1	0	6
77	0	0	149	-7	1	0	0	0	0	0	0	-1	0	1	0	1	0	155
77	0	0	149	-7	1	0	0	0	0	0	0	-1	1	1	0	1	0	155
77	0	0	149	-7	1	0	0	0	0	0	0	0	0	1	0	1	0	155
77	0	0	149	-7	1	0	0	0	0	0	0	0	1	1	0	1	0	155
77	0	0	150	-7	1	0	0	0	0	0	0	-1	0	1	0	1	0	156
77	0	0	150	-7	1	0	0	0	0	0	0	-1	1	1	0	1	0	156
77	0	0	150	-7	1	0	0	0	0	0	0	0	0	1	0	1	0	156
77	0	0	150	-7	1	0	0	0	0	0	0	0	1	1	0	1	0	156
77	0	0	151	-7	1	0	0	0	0	0	0	-1	0	1	0	1	0	157
77	0	0	151	-7	1	0	0	0	0	0	0	-1	1	1	0	1	0	157
77	0	0	151	-7	1	0	0	0	0	0	0	0	0	1	0	1	0	151
77	0	0	151	-7	1	0	0	0	0	0	0	0	1	1	0	1	0	151
77	0	0	499	-7	1	0	0	0	0	0	0	-1	0	1	0	1	0	500
77	0	0	499	-7	1	0	0	0	0	0	0	-1	1	1	0	1	0	500
77	0	0	499	-7	1	0	0	0	0	0	0	0	0	1	0	1	0	499
77	0	0	499	-7	1	0	0	0	0	0	0	0	1	1	0	1	0	499
77	0	0	500	-7	1	0	0	0	0	0	0	-1	0	1	0	1	0	500
77	0	0	500	-7	1	0	0	0	0	0	0	-1	1	1	0	1	0	500
77	0	0	500	-7	1	0	0	0	0	0	0	0	0	1	0	1	0	500
77	0	0	500	-7	1	0	0	0	0	0	0	0	1	1	0	1	0	500
77	0	0	501	-7	1	0	0	0	0	0	0	-1	0	1	0	1	0	501
77	0	0	501	-7	1	0	0	0	0	0	0	-1	1	1	0	1	0	501
77	0	0	501	-7	1	0	0	0	0	0	0	0	0	1	0	1	0	501
77	0	0	501	-7	1	0	0	0	0	0	0	0	1	1	0	1	0	501
77	0	375	-5	-7	1	0	0	0	0	0	0	-1	0	1	0	1	0	0
77	0	375	-5	-7	1	0	0	0	0	0	0	-1	1	1	0	1	0	0
77	0	375	-5	-7	1	0	0	0	0	0	0	0	0	1	0	1	0	0
77	0	375	-5	-7	1	0	0	0	0	0	0	0	1	1	0	1	0	0
77	0	375	0	-7	1	0	0	0	0	0	0	-1	0	1	0	1	0	2
77	0	375	0	-7	1	0	0	0	0	0	0	-1	1	1	0	1	0	2
77	0	375	0	-7	1	0	0	0	0	0	0	0	0	1	0	1	0	2
77	0	375	0	-7	1	0	0	0	0	0	0	0	1	1	0	1	0	2
77	0	375	149	-7	1	0	0	0	0	0	0	-1	0	1	0	1	0	151
