sourceDat,role,token,resolved,resolution,domain,hash,disposition,format,width,height
b/des/b.dat,top:shadow,b\s.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\s.png,EXACT,BACKGROUND,060FB5320E5C89505F699A8307ECE40333A95AAEDA7F6A391F7E5CE3EAFA90D6,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,37,9
b/des/b.dat,top:small,b\Des\t.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\Des\t.png,EXACT,BACKGROUND,8A50EC5E38C776D590CFE6BE8A13A52EAD40F5E25CF82C5F170A1C6A9A9AC7D8,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,246,127
b/dis/b.dat,top:shadow,b\s.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\s.png,EXACT,BACKGROUND,060FB5320E5C89505F699A8307ECE40333A95AAEDA7F6A391F7E5CE3EAFA90D6,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,37,9
b/dis/b.dat,top:small,b\Dis\t.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\Dis\t.png,EXACT,BACKGROUND,EFC7C4BEE674D85E1232AAD9EC5A936DB72598F2BDF1E414813D2525BCC34F0C,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,246,127
b/ent/b.dat,top:shadow,b\s.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\s.png,EXACT,BACKGROUND,060FB5320E5C89505F699A8307ECE40333A95AAEDA7F6A391F7E5CE3EAFA90D6,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,37,9
b/ent/b.dat,top:small,b\Ent\t.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\Ent\t.png,EXACT,BACKGROUND,77AD0A7F3EF69507C54B18AF52CC22053F2A686691820573374C1191144FA56E,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,246,127
b/fod/b.dat,top:shadow,b\s.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\s.png,EXACT,BACKGROUND,060FB5320E5C89505F699A8307ECE40333A95AAEDA7F6A391F7E5CE3EAFA90D6,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,37,9
b/fod/b.dat,top:small,b\Fod\t.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\Fod\t.png,EXACT,BACKGROUND,3C59A7A5AAF4EAED60034D8B22973F2583525663024A9FFB61366CA87CB302DA,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,246,127
b/for/b.dat,top:shadow,b\s.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\s.png,EXACT,BACKGROUND,060FB5320E5C89505F699A8307ECE40333A95AAEDA7F6A391F7E5CE3EAFA90D6,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,37,9
b/for/b.dat,top:small,b\For\t.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\For\t.png,EXACT,BACKGROUND,986FC0AF0DBAC0F3D8592D920B1FC656B59B326BDA4C37F0E4E966D50DB39D0E,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,246,127
b/hid/b.dat,top:shadow,b\s.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\s.png,EXACT,BACKGROUND,060FB5320E5C89505F699A8307ECE40333A95AAEDA7F6A391F7E5CE3EAFA90D6,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,37,9
b/hid/b.dat,top:small,b\Hid\t.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\Hid\t.png,EXACT,BACKGROUND,5AFDF278803DF1418D38A889903C8262AA9B3658A730E4F10C3BBA91C55517DB,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,246,127
b/hos/b.dat,top:shadow,b\s.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\s.png,EXACT,BACKGROUND,060FB5320E5C89505F699A8307ECE40333A95AAEDA7F6A391F7E5CE3EAFA90D6,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,37,9
b/hos/b.dat,top:small,b\Hos\t.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\Hos\t.png,EXACT,BACKGROUND,8C5569F0AE0A12A8D27F7B29FAF6B0008E4A089A1735344005BF1D16EEA3D2F9,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,246,127
b/hot/b.dat,top:shadow,b\s.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\s.png,EXACT,BACKGROUND,060FB5320E5C89505F699A8307ECE40333A95AAEDA7F6A391F7E5CE3EAFA90D6,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,37,9
b/hot/b.dat,top:small,b\Hot\t.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\Hot\t.png,EXACT,BACKGROUND,08CC7FDE1A3B227AD52F5F303BD6F1D2F21BE514BBF70A8E277A74EC1CB25B9F,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,246,127
b/kab/b.dat,top:shadow,b\s.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\s.png,EXACT,BACKGROUND,060FB5320E5C89505F699A8307ECE40333A95AAEDA7F6A391F7E5CE3EAFA90D6,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,37,9
b/kab/b.dat,top:small,b\Kab\t.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\Kab\t.png,EXACT,BACKGROUND,7532989012FDBD1F23D9E4AF4A4EB65572BEE5FBDDAFD76B64E485436C3E37E7,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,246,127
b/pat/b.dat,top:shadow,b\s.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\s.png,EXACT,BACKGROUND,060FB5320E5C89505F699A8307ECE40333A95AAEDA7F6A391F7E5CE3EAFA90D6,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,37,9
b/pat/b.dat,top:small,b\Pat\t.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\Pat\t.png,EXACT,BACKGROUND,984DC23F9C6FA1C08599C7D43F921DD0908E5D0C7659E023E5E7C0A624420FFA,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,246,127
b/rai/b.dat,top:shadow,b\s.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\s.png,EXACT,BACKGROUND,060FB5320E5C89505F699A8307ECE40333A95AAEDA7F6A391F7E5CE3EAFA90D6,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,37,9
b/rai/b.dat,top:small,b\Rai\t.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\Rai\t.png,EXACT,BACKGROUND,E8115CDAE21050054A9E7AA30EE789CE4B07374CD0924DE27830F3417DCD2B76,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,246,127
b/ram/b.dat,top:shadow,b\s.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\s.png,EXACT,BACKGROUND,060FB5320E5C89505F699A8307ECE40333A95AAEDA7F6A391F7E5CE3EAFA90D6,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,37,9
b/ram/b.dat,top:small,b\Ram\t.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\Ram\t.png,EXACT,BACKGROUND,9E4B7800F7228EAA2920861A5F7CCB67A6E7B67C1DC9E63F8FB228F2DD9887BA,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,246,127
b/san/b.dat,top:shadow,b\s.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\s.png,EXACT,BACKGROUND,060FB5320E5C89505F699A8307ECE40333A95AAEDA7F6A391F7E5CE3EAFA90D6,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,37,9
b/san/b.dat,top:small,b\San\t.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\San\t.png,EXACT,BACKGROUND,DBE84DA3221DE7C9B62C55B2EAD6B914B80CE0C22EE5A757120818FAF62E4644,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,246,127
b/san2/b.dat,top:shadow,b\s.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\s.png,EXACT,BACKGROUND,060FB5320E5C89505F699A8307ECE40333A95AAEDA7F6A391F7E5CE3EAFA90D6,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,37,9
b/san2/b.dat,top:small,b\San2\t.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\San2\t.png,EXACT,BACKGROUND,C29D0E5E41B1F20598650C00734F512AECAB5FFABC3BFEFF9EA0EB28C854D3C0,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,246,127
b/sno/b.dat,top:shadow,b\s.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\s.png,EXACT,BACKGROUND,060FB5320E5C89505F699A8307ECE40333A95AAEDA7F6A391F7E5CE3EAFA90D6,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,37,9
b/sno/b.dat,top:small,b\Sno\t.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\Sno\t.png,EXACT,BACKGROUND,1F89FEB84CF228D2F1077E9B73FD827E3CA251B653E5C0CA660F3C239F30B86C,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,246,127
b/uch/b.dat,top:shadow,b\s.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\s.png,EXACT,BACKGROUND,060FB5320E5C89505F699A8307ECE40333A95AAEDA7F6A391F7E5CE3EAFA90D6,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,37,9
b/uch/b.dat,top:small,b\Uch\t.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\Uch\t.png,EXACT,BACKGROUND,F4C68371B2D387F0C3EC88D379EA36AD6EB7F6E14B22A2B9A7F56D38C91B6B4D,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,246,127
b/val/b.dat,top:shadow,b\s.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\s.png,EXACT,BACKGROUND,060FB5320E5C89505F699A8307ECE40333A95AAEDA7F6A391F7E5CE3EAFA90D6,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,37,9
b/val/b.dat,top:small,b\Val\t.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\Val\t.png,EXACT,BACKGROUND,523DEECC13800ABC288D3A0281C82FA774CB2A60D1392B5258E0C028D09A5333,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,246,127
b/vil/b.dat,top:shadow,b\s.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\s.png,EXACT,BACKGROUND,060FB5320E5C89505F699A8307ECE40333A95AAEDA7F6A391F7E5CE3EAFA90D6,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,37,9
b/vil/b.dat,top:small,b\Vil\t.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\Vil\t.png,EXACT,BACKGROUND,622997A049AB6FCC3F5FEBEAABBF498B358E954194B3968C9C5B08FBB5C2C7EA,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,246,127
b/wha/b.dat,top:shadow,b\s.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\s.png,EXACT,BACKGROUND,060FB5320E5C89505F699A8307ECE40333A95AAEDA7F6A391F7E5CE3EAFA90D6,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,37,9
b/wha/b.dat,top:small,b\Wha\t.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\Wha\t.png,EXACT,BACKGROUND,BAC37F7824166A17206D111095DE4E9A550AD64B90A904B92C22025D09E16C2A,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,246,127
data/bg/aca.dat,top:small,b\aca\t.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\Aca\t.png,EXACT,ANCILLARY_RESOURCE_OWNER_REVIEW,173B2A1BFD442EE94EE3F384556CF7E583B026CD11093AFB3FD2AFFD1594F363,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,246,127
data/bg/are.dat,top:small,b\are\t.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\Are\t.png,EXACT,ANCILLARY_RESOURCE_OWNER_REVIEW,74FE63200E773C6B5C3A87BEEC70939845CBC66A168DA9A4277125DA4FD7AB96,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,246,127
data/bg/cav.dat,top:small,b\cav\t.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\Cav\t.png,EXACT,ANCILLARY_RESOURCE_OWNER_REVIEW,C1E0A650BD818725CF0A606C2696731D9DC0D37CB3A0EA45E16F10EFC06835D7,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,246,127
data/bg/cli.dat,top:small,b\cli\t.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\Cli\t.png,EXACT,ANCILLARY_RESOURCE_OWNER_REVIEW,F1431F79D2D159D3EFE4CBC09090D74F76C5324013E8CD8E5EE16295934E8F81,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,246,127
data/bg/dee.dat,top:small,b\dee\t.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\Dee\t.png,EXACT,ANCILLARY_RESOURCE_OWNER_REVIEW,07F87CECCA8BD58AACCEABB1833C2EBCFAD6491E2930ED4CA488E675BB2F14D5,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,246,127
data/bg/des.dat,top:small,b\des\t.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\Des\t.png,EXACT,ANCILLARY_RESOURCE_OWNER_REVIEW,8A50EC5E38C776D590CFE6BE8A13A52EAD40F5E25CF82C5F170A1C6A9A9AC7D8,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,246,127
data/bg/dis.dat,top:small,b\dis\t.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\Dis\t.png,EXACT,ANCILLARY_RESOURCE_OWNER_REVIEW,EFC7C4BEE674D85E1232AAD9EC5A936DB72598F2BDF1E414813D2525BCC34F0C,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,246,127
data/bg/ent.dat,top:small,b\ent\t.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\Ent\t.png,EXACT,ANCILLARY_RESOURCE_OWNER_REVIEW,77AD0A7F3EF69507C54B18AF52CC22053F2A686691820573374C1191144FA56E,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,246,127
data/bg/fod.dat,top:small,b\fod\t.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\Fod\t.png,EXACT,ANCILLARY_RESOURCE_OWNER_REVIEW,3C59A7A5AAF4EAED60034D8B22973F2583525663024A9FFB61366CA87CB302DA,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,246,127
data/bg/for.dat,top:small,b\for\t.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\For\t.png,EXACT,ANCILLARY_RESOURCE_OWNER_REVIEW,986FC0AF0DBAC0F3D8592D920B1FC656B59B326BDA4C37F0E4E966D50DB39D0E,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,246,127
data/bg/hid.dat,top:small,b\hid\t.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\Hid\t.png,EXACT,ANCILLARY_RESOURCE_OWNER_REVIEW,5AFDF278803DF1418D38A889903C8262AA9B3658A730E4F10C3BBA91C55517DB,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,246,127
data/bg/hos.dat,top:small,b\hos\t.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\Hos\t.png,EXACT,ANCILLARY_RESOURCE_OWNER_REVIEW,8C5569F0AE0A12A8D27F7B29FAF6B0008E4A089A1735344005BF1D16EEA3D2F9,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,246,127
data/bg/hot.dat,top:small,b\hot\t.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\Hot\t.png,EXACT,ANCILLARY_RESOURCE_OWNER_REVIEW,08CC7FDE1A3B227AD52F5F303BD6F1D2F21BE514BBF70A8E277A74EC1CB25B9F,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,246,127
data/bg/kab.dat,top:small,b\kab\t.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\Kab\t.png,EXACT,ANCILLARY_RESOURCE_OWNER_REVIEW,7532989012FDBD1F23D9E4AF4A4EB65572BEE5FBDDAFD76B64E485436C3E37E7,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,246,127
data/bg/pat.dat,top:small,b\pat\t.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\Pat\t.png,EXACT,ANCILLARY_RESOURCE_OWNER_REVIEW,984DC23F9C6FA1C08599C7D43F921DD0908E5D0C7659E023E5E7C0A624420FFA,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,246,127
data/bg/rai.dat,top:small,b\rai\t.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\Rai\t.png,EXACT,ANCILLARY_RESOURCE_OWNER_REVIEW,E8115CDAE21050054A9E7AA30EE789CE4B07374CD0924DE27830F3417DCD2B76,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,246,127
data/bg/ram.dat,top:small,b\ram\t.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\Ram\t.png,EXACT,ANCILLARY_RESOURCE_OWNER_REVIEW,9E4B7800F7228EAA2920861A5F7CCB67A6E7B67C1DC9E63F8FB228F2DD9887BA,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,246,127
data/bg/san.dat,top:small,b\san\t.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\San\t.png,EXACT,ANCILLARY_RESOURCE_OWNER_REVIEW,DBE84DA3221DE7C9B62C55B2EAD6B914B80CE0C22EE5A757120818FAF62E4644,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,246,127
